"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
02,Baja California,000,Total de la entidad Baja California,0000,Total de la Entidad,,,,3155070,1591610,1563460,170792,86813,83979,2946853,1485928,1460925,2824411,1423574,1400837,2396702,1206136,1190566,2215759,1114205,1101554,2036594,1023074,1013520,182211,92904,89307,367940,186888,181052,430199,218681,211518,180943,91931,89012,179165,91131,88034,406509,205543,200966,869283,215854,101804,114050,101.80,901886,2075134,140625,2.12,1685113,858838,826275,1299773,643373,656400,2593355,1299745,1293610,154029,77164,76865,41731,21922,19809,1558,523,1035,33666,17851,15815,41005,1398,33283,85643,108691,59844,29877,9460,8431,6127,5565,11354,2966445,97246,49699,47547,11379,6114,5265,10802,5868,4934,129220,65232,63988,116319,58594,57725,9402,5485,3917,56978,25108,31870,85592,40403,45189,206454,105071,101383,321356,154930,166426,162454,90753,71701,525666,260843,264823,818502,418066,400436,9.26,9.33,9.20,1387389,882740,504649,976388,297452,678936,1320018,830224,489794,67371,52516,14855,908960,2178921,1378965,131098,85922,473361,834424,1296267,256949,2274186,477090,4369,315144,858676,635594,223082,3089136,2357800,731336,1143117,870769,1131024,858676,870310,214705,57643,3089136,3.60,0.96,818880,28212,275632,573596,46658,132306,669273,840665,9463,807329,40128,840816,797017,49537,768074,4650,717486,827561,790270,682284,582926,374234,411979,716485,301817,
02,Baja California,000,Total de la entidad Baja California,9998,Localidades de una vivienda,,,,7361,4340,3021,310,156,154,7002,4160,2842,6796,4059,2737,5978,3621,2357,5636,3438,2198,5214,3194,2020,320,167,153,704,372,332,828,459,369,342,183,159,422,244,178,814,477,337,1461,1178,754,424,*,1676,4786,850,*,4196,2419,1777,2816,1730,1086,6161,3631,2530,396,256,140,213,127,86,3,2,1,195,112,83,211,3,193,415,386,202,89,43,42,18,31,44,6870,185,95,90,33,17,16,38,21,17,254,151,103,191,116,75,37,27,10,387,247,140,541,341,200,1235,796,439,1086,650,436,426,286,140,1076,632,444,1081,640,441,*,*,*,3306,2728,578,2630,868,1762,3245,2674,571,61,54,7,3107,4185,1870,178,71,1746,2060,3108,798,5031,1244,26,892,2121,1876,245,6657,5878,779,4886,2158,4849,2121,2137,768,1960,6657,*,*,1838,151,826,1164,151,359,1479,1505,486,918,1064,1914,1270,710,665,60,1556,1564,1322,1064,1515,309,211,1487,152,
02,Baja California,000,Total de la entidad Baja California,9999,Localidades de dos viviendas,,,,4858,2670,2188,239,125,114,4574,2523,2051,4403,2437,1966,3861,2166,1695,3623,2045,1578,3374,1912,1462,245,127,118,468,230,238,550,281,269,238,121,117,249,133,116,552,274,278,1087,715,414,301,*,1190,3136,487,*,2862,1532,1330,1714,991,723,3946,2158,1788,278,165,113,117,63,54,4,1,3,95,50,45,114,4,92,227,269,135,75,22,32,16,6,43,4502,138,66,72,30,13,17,27,11,16,149,79,70,127,57,70,26,14,12,224,123,101,325,182,143,672,421,251,687,364,323,229,145,84,762,419,343,842,469,373,*,*,*,2060,1632,428,1785,522,1263,2007,1586,421,53,46,7,1932,2873,1306,132,84,1180,1249,2147,454,3462,737,2,559,1466,1247,219,4659,4043,616,3113,1488,3091,1466,1480,561,1064,4659,*,*,1259,100,566,794,123,248,989,1186,174,715,638,1327,924,432,568,28,1113,1164,1069,904,1041,289,207,1081,148,
02,Baja California,001,Ensenada,0000,Total del Municipio,,,,466814,235130,231684,25379,12882,12497,438589,220822,217767,420633,211673,208960,357557,179748,177809,330125,165826,164299,302093,151493,150600,26774,13680,13094,54258,27394,26864,64407,32691,31716,27432,13922,13510,28032,14333,13699,63520,32452,31068,127279,35839,17456,18383,101.49,133843,306433,23692,2.18,268228,135484,132744,184922,92529,92393,382819,191029,191790,28778,15219,13559,23762,12051,11711,1355,452,903,20821,10825,9996,23266,1208,20515,46411,16510,9500,4018,1384,1371,888,720,1625,441974,13863,7172,6691,2128,1104,1024,2128,1097,1031,19272,9702,9570,19127,9734,9393,2318,1271,1047,15601,6698,8903,19559,8981,10578,40207,20933,19274,45304,22354,22950,24798,14014,10784,67387,34108,33279,119015,59205,59810,8.93,8.94,8.91,206680,129927,76753,146448,46209,100239,198846,124057,74789,7834,5870,1964,110182,349787,173949,25205,16791,120910,124795,192409,39600,306622,87534,618,62543,128665,95383,33282,458584,352405,106179,168914,129657,167922,128665,129558,25621,13636,458584,3.56,0.98,121262,4533,43723,82376,12127,19141,94647,122801,3353,113352,12464,124463,105551,20017,99373,2001,100631,118836,109506,97098,86006,50670,56814,103375,39827,
02,Baja California,001,Ensenada,0001,Ensenada,1163621,315128,0016,279765,139411,140354,13335,6806,6529,264941,131858,133083,255513,127068,128445,221792,109989,111803,206595,102256,104339,191132,94360,96772,14134,7217,6917,29015,14652,14363,34979,17784,17195,15197,7733,7464,15463,7896,7567,37275,18981,18294,78540,23865,11060,12805,99.33,71681,190909,15686,2.02,168673,85088,83585,102556,49853,52703,236945,117305,119640,13154,6641,6513,2120,1095,1025,11,4,7,1525,802,723,2096,11,1518,4319,10740,6230,2675,800,858,618,469,1042,263192,6467,3335,3132,549,312,237,634,352,282,12114,6075,6039,14442,7303,7139,493,282,211,3193,1340,1853,5480,2447,3033,15678,7928,7750,22518,10514,12004,15373,8785,6588,43960,21933,22027,94100,46483,47617,10.14,10.21,10.08,125335,76418,48917,92676,30368,62308,119481,72088,47393,5854,4330,1524,48635,226003,125578,19267,13708,58052,79279,115718,26351,197972,46975,431,28440,80442,57314,23128,274484,204035,70449,100634,80935,100141,80442,80896,14145,5554,274484,3.41,0.85,77429,1762,22030,57413,3034,9782,66477,78854,640,78068,1214,78715,77592,1609,76400,241,68908,77967,75695,68019,58213,40460,45462,68908,33309,12
02,Baja California,001,Ensenada,0035,Ejido 18 de Marzo (El Álamo),1160319,313536,1103,14,8,6,0,0,0,14,8,6,14,8,6,12,7,5,12,7,5,12,7,5,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,2,1,1,3,3,2,1,133.33,2,10,2,2.40,10,5,5,4,3,1,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2,4,2,2,2,1,1,1,1,0,0,0,0,5.17,5.29,5,9,6,3,3,1,2,9,6,3,0,0,0,6,8,3,0,0,5,2,9,1,14,0,0,0,7,6,1,14,11,3,43,7,43,7,7,20,16,14,2,0.67,6,1,4,3,1,1,5,4,3,2,5,6,1,6,1,0,3,4,1,2,6,0,0,7,0,1
02,Baja California,001,Ensenada,0037,Rancho Almaraz,1161915,315730,0670,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
02,Baja California,001,Ensenada,0045,Rancho Aviña,1155803,303802,0016,34,16,18,1,0,1,33,16,17,32,15,17,27,14,13,25,13,12,23,12,11,1,1,0,5,1,4,7,2,5,2,1,1,2,1,1,5,3,2,8,3,2,1,88.89,9,24,1,2.33,29,13,16,5,3,2,32,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,1,0,3,0,3,1,0,1,1,1,0,6,4,2,12,6,6,10.76,10.62,10.92,14,9,5,13,5,8,14,9,5,0,0,0,8,26,10,5,0,11,15,12,0,34,0,0,0,6,6,0,34,34,0,6,6,6,6,6,0,0,34,5.67,1.06,6,0,0,6,0,0,6,6,0,6,0,6,6,0,6,0,1,6,6,6,5,5,6,5,4,1
02,Baja California,001,Ensenada,0046,Bahía de los Ángeles,1133337,285712,0008,590,313,277,29,14,15,561,299,262,536,284,252,469,256,213,439,243,196,406,229,177,34,22,12,58,21,37,68,29,39,30,13,17,33,14,19,65,34,31,160,44,25,19,113,151,412,27,2.44,385,203,182,199,107,92,499,259,240,36,24,12,1,1,0,0,0,0,1,1,0,1,0,1,1,49,8,37,4,7,0,0,1,540,18,9,9,2,1,1,1,1,0,20,10,10,7,4,3,1,0,1,17,14,3,31,23,8,82,52,30,85,42,43,44,26,18,103,49,54,79,41,38,7.25,6.88,7.72,307,218,89,160,37,123,307,218,89,0,0,0,267,323,44,2,31,244,147,272,49,447,59,0,84,195,167,28,590,513,77,331,195,331,195,195,25,111,590,3.03,1.19,141,19,63,97,19,36,105,155,5,108,52,157,133,27,99,9,77,146,145,133,124,50,25,42,14,3
02,Baja California,001,Ensenada,0051,La Bocana,1163924,313203,0008,27,14,13,1,1,0,26,13,13,26,13,13,21,11,10,20,11,9,20,11,9,1,0,1,4,2,2,4,2,2,1,0,1,0,0,0,1,0,1,4,10,6,4,107.69,7,12,8,3,8,4,4,9,5,4,16,8,8,0,0,0,4,3,1,0,0,0,4,3,1,4,0,4,10,1,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,2,4,3,1,3,2,1,1,1,0,2,1,1,8,4,4,9.80,9.82,9.78,10,8,2,11,3,8,10,8,2,0,0,0,19,8,0,1,0,7,4,15,2,20,5,0,2,12,11,1,27,26,1,39,12,39,12,12,15,12,27,2.25,0.77,10,1,6,5,2,3,6,6,5,6,5,11,9,2,5,0,10,5,6,2,9,1,1,2,1,1
02,Baja California,001,Ensenada,0053,El Borrego,1163007,315517,0278,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
02,Baja California,001,Ensenada,0056,Buena Vista,1161555,311605,0200,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
02,Baja California,001,Ensenada,0059,San José (La Calentura) [Viñedos Agrícolas],1160215,311624,0209,12,5,7,0,0,0,12,5,7,10,4,6,9,4,5,9,4,5,8,4,4,2,1,1,1,0,1,1,0,1,0,0,0,1,0,1,4,1,3,5,0,0,0,71.43,3,9,0,1.80,0,0,0,12,5,7,1,1,0,9,3,6,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,12,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,4,2,2,1,0,1,0,0,0,2,0,2,0,0,0,4,1.75,5.80,9,4,5,0,0,0,9,4,5,0,0,0,0,12,12,0,0,0,3,6,0,12,0,0,0,3,3,0,12,12,0,6,3,6,3,3,2,1,12,4,1.20,3,0,1,2,0,1,2,3,0,3,0,3,1,2,1,0,3,3,3,0,0,0,0,2,0,1
