"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,0000,Total de la Entidad,,,,2748391,1364197,1384194,151918,77626,74292,2558513,1267553,1290960,2452185,1213890,1238295,2071514,1019912,1051602,1913256,939879,973377,1752644,858647,893997,158570,80257,78313,328429,167384,161045,379913,193063,186850,158258,80033,78225,160612,81232,79380,331462,166688,164774,737341,233944,111157,122787,98.56,797175,1756839,156417,2.28,2320890,1153627,1167263,362707,177747,184960,2361614,1165456,1196158,61636,31748,29888,6233,3534,2699,57,26,31,3075,1766,1309,6105,39,3052,13011,122185,65767,36830,9885,13425,6619,4962,11361,2576227,66905,33985,32920,6900,3687,3213,11287,5956,5331,108394,54357,54037,94844,49804,45040,6313,3884,2429,50229,23856,26373,61868,30170,31698,171573,82267,89306,292828,136310,156518,94680,51066,43614,495100,247886,247214,702858,353702,349156,9.47,9.57,9.37,1078100,735068,343032,984442,279751,704691,1009845,681569,328276,68255,53499,14756,602569,2103178,1551456,178042,8435,297031,677735,1189120,200064,2209688,327442,1349,151311,715158,565393,149765,2705129,2226266,478863,900454,727613,887999,715158,727458,131042,41799,2705129,3.78,0.91,701621,11115,196727,516566,20318,74497,617769,708728,5064,689751,22873,700304,680759,30859,664048,3569,596252,696119,674109,589643,418140,230582,333112,517174,165490,
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,9998,Localidades de una vivienda,,,,7716,4953,2763,305,164,141,7229,4699,2530,7022,4589,2433,6299,4191,2108,5975,4027,1948,5616,3799,1817,303,167,136,627,341,286,752,395,357,324,164,160,359,228,131,856,555,301,1313,1147,814,333,*,1559,5175,800,*,6366,4073,2293,1067,722,345,6638,4295,2343,259,189,70,32,25,7,0,0,0,22,18,4,31,0,21,41,552,294,167,46,68,25,21,42,6933,167,90,77,89,51,38,73,39,34,150,102,48,110,82,28,52,29,23,642,446,196,712,498,214,1599,1092,507,1385,893,492,380,283,97,1159,767,392,646,435,211,*,*,*,3907,3606,301,2365,573,1792,3834,3540,294,73,66,7,2329,5127,2793,126,5,1261,1952,3700,635,5933,961,2,557,2203,2086,117,6449,6070,379,4129,2271,4061,2203,2263,505,1353,6449,*,*,1938,247,1239,946,333,649,1200,1585,591,940,1228,1783,1273,877,657,119,1720,1468,1291,838,1209,106,105,1148,43,
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,9999,Localidades de dos viviendas,,,,2411,1332,1079,124,52,72,2200,1237,963,2125,1204,921,1884,1075,809,1755,1009,746,1624,935,689,107,49,58,209,113,96,262,135,127,129,66,63,131,74,57,285,156,129,509,372,229,143,*,569,1484,271,*,1980,1109,871,331,172,159,1993,1114,879,100,68,32,36,23,13,0,0,0,32,20,12,36,0,32,12,183,97,55,15,28,6,6,17,2128,53,26,27,31,23,8,23,14,9,52,28,24,33,20,13,16,9,7,203,129,74,204,132,72,459,287,172,448,251,197,93,53,40,284,151,133,232,118,114,*,*,*,978,867,111,898,205,693,954,843,111,24,24,0,706,1609,932,39,9,575,557,1189,132,1917,224,0,160,717,670,47,2292,2129,163,1379,748,1348,717,746,161,470,2292,*,*,650,61,373,340,93,209,409,569,143,361,350,621,459,249,274,41,556,511,452,312,411,47,46,364,25,
05,Coahuila de Zaragoza,001,Abasolo,0000,Total del Municipio,,,,1070,531,539,40,16,24,1030,515,515,995,499,496,888,447,441,827,417,410,773,392,381,43,18,25,99,50,49,129,63,66,61,30,31,54,25,29,114,60,54,257,207,109,98,98.52,243,673,154,2.63,1010,499,511,28,13,15,953,470,483,11,4,7,3,2,1,0,0,0,1,1,0,3,0,1,5,120,68,29,6,21,5,1,8,943,9,3,6,5,1,4,8,6,2,40,20,20,32,20,12,1,1,0,32,18,14,25,13,12,133,69,64,187,95,92,38,21,17,255,131,124,154,74,80,7.72,7.63,7.80,420,318,102,463,125,338,409,309,100,11,9,2,399,662,172,91,2,168,249,526,110,698,241,0,124,362,274,88,1070,859,211,629,362,629,362,362,161,106,1070,2.96,0.74,362,0,96,261,7,34,315,357,3,349,13,359,334,24,326,3,309,352,348,300,214,48,186,191,11,
05,Coahuila de Zaragoza,001,Abasolo,0001,Abasolo,1012535,271055,0436,739,369,370,31,12,19,708,357,351,681,346,335,598,309,289,550,284,266,509,264,245,31,12,19,79,36,43,105,49,56,48,25,23,41,20,21,83,48,35,177,112,58,54,99.73,189,470,80,2.53,695,349,346,21,7,14,649,326,323,10,3,7,1,1,0,0,0,0,0,0,0,1,0,0,5,78,43,21,4,16,3,0,6,656,6,1,5,3,1,2,6,5,1,29,16,13,29,19,10,0,0,0,13,6,7,14,8,6,65,31,34,111,57,54,19,13,6,190,103,87,121,60,61,8.26,8.24,8.28,300,228,72,296,79,217,290,219,71,10,9,1,365,367,122,85,1,118,174,357,65,494,165,0,75,237,174,63,739,571,168,373,237,373,237,237,73,63,739,3.12,0.77,237,0,55,177,4,20,207,234,1,237,0,235,231,2,229,2,205,232,228,197,153,40,133,121,11,3
05,Coahuila de Zaragoza,001,Abasolo,0002,Las Adjuntas,1011631,270709,0419,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
05,Coahuila de Zaragoza,001,Abasolo,0006,Los Pozos,1012018,270441,0458,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
05,Coahuila de Zaragoza,001,Abasolo,0007,Los Rodríguez,1012129,271204,0416,275,131,144,6,2,4,269,129,140,262,124,138,246,114,132,237,111,126,224,106,118,10,5,5,13,10,3,17,9,8,9,3,6,13,5,8,25,9,16,68,91,48,43,90.97,38,167,70,2.81,261,121,140,6,5,1,252,115,137,1,1,0,2,1,1,0,0,0,1,1,0,2,0,1,0,37,21,7,2,5,1,1,1,237,2,2,0,0,0,0,2,1,1,11,4,7,3,1,2,1,1,0,14,8,6,8,3,5,56,31,25,71,35,36,17,7,10,54,22,32,26,11,15,6.68,6.46,6.87,95,68,27,148,44,104,95,68,27,0,0,0,2,272,31,6,1,46,62,144,39,164,74,0,36,106,84,22,275,238,37,226,106,226,106,106,86,34,275,2.59,0.65,106,0,29,77,0,8,98,105,1,106,0,105,92,14,92,1,85,103,104,92,52,7,52,54,0,2
05,Coahuila de Zaragoza,001,Abasolo,0011,García,1011926,270404,0452,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
05,Coahuila de Zaragoza,001,Abasolo,0012,San Ángel,1012051,270358,0464,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
