"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
10,Durango,000,Total de la entidad Durango,0000,Total de la Entidad,,,,1632934,803890,829044,95764,48765,46999,1508762,740922,767840,1442826,707641,735185,1208679,588645,620034,1108793,537849,570944,1007431,486630,520801,98415,49893,48522,201668,102384,99284,234867,119517,115350,99886,50796,49090,101362,51219,50143,208381,103197,105184,429080,149681,72622,77059,96.97,495733,1003805,104988,2.59,1397144,687792,709352,189923,93078,96845,1374075,668996,705079,39200,20048,19152,32917,16524,16393,5949,2314,3635,24322,12807,11515,30894,4825,23546,43395,84808,49352,24530,6599,8575,4330,3386,7058,1510393,47028,23696,23332,5925,3173,2752,8748,4812,3936,64842,32042,32800,55115,27814,27301,5711,3413,2298,42343,20410,21933,50255,24830,25425,157277,80212,77065,198120,95822,102298,56299,30384,25915,267571,126739,140832,330739,159820,170919,8.58,8.53,8.62,589777,415955,173822,612094,168310,443784,553840,386467,167373,35937,29488,6449,487382,1113493,571296,162275,3736,359598,420122,669194,116866,1403479,129513,439,58089,398471,301613,96858,1600533,1261868,338665,528001,407784,518688,398471,407681,93700,26517,1600533,4.02,0.99,371654,25110,107155,289675,12070,46246,338258,382900,14222,368415,28127,370135,352339,42518,337833,9390,305754,370918,344561,280091,207996,105076,176471,248418,68168,
10,Durango,000,Total de la entidad Durango,9998,Localidades de una vivienda,,,,8428,4737,3691,507,254,253,7885,4466,3419,7563,4303,3260,6493,3764,2729,6031,3526,2505,5490,3245,2245,457,222,235,935,480,455,1110,566,544,462,238,224,541,281,260,1111,626,485,1804,1085,683,402,*,2361,5250,781,*,7388,4147,3241,937,537,400,7208,4063,3145,233,158,75,1379,691,688,344,125,219,1001,551,450,1319,301,985,1567,473,280,133,39,52,22,9,27,7824,299,156,143,121,71,50,120,57,63,208,110,98,95,53,42,125,65,60,892,452,440,1055,557,498,1588,1000,588,1386,818,568,309,175,134,1036,596,440,541,327,214,*,*,*,2935,2692,243,3485,1028,2457,2825,2594,231,110,98,12,4013,4332,1682,158,8,2370,2130,3813,535,7203,623,4,460,1990,1784,206,8082,7228,854,3055,2004,3041,1990,2001,599,452,8082,*,*,1367,609,779,1201,92,485,1403,1139,834,845,1123,1234,927,998,508,322,1310,1071,797,538,983,90,111,778,28,
10,Durango,000,Total de la entidad Durango,9999,Localidades de dos viviendas,,,,6745,3607,3138,470,256,214,6264,3346,2918,5929,3181,2748,4896,2611,2285,4468,2368,2100,4066,2155,1911,498,254,244,870,481,389,995,559,436,428,243,185,402,213,189,990,508,482,1551,724,408,316,*,2266,3949,519,*,6040,3222,2818,651,359,292,5712,3063,2649,142,69,73,1467,745,722,402,161,241,1028,569,459,1386,353,1000,1718,390,228,130,37,55,14,10,27,6262,335,171,164,116,65,51,123,72,51,140,78,62,78,39,39,98,62,36,815,390,425,939,481,458,1182,650,532,966,542,424,229,125,104,752,380,372,336,159,177,*,*,*,2047,1885,162,2777,667,2110,1955,1800,155,92,85,7,3048,3662,966,50,2,2558,1674,2829,384,5841,351,0,464,1494,1288,206,6739,5934,805,2186,1496,2184,1494,1496,437,253,6739,*,*,840,638,588,892,73,383,1024,709,767,552,927,840,542,907,275,341,900,629,387,285,654,41,62,363,16,
10,Durango,001,Canatlán,0000,Total del Municipio,,,,31401,15633,15768,1702,869,833,29661,14745,14916,28497,14164,14333,24256,12003,12253,22345,11013,11332,20441,10052,10389,1745,878,867,3660,1864,1796,4358,2250,2108,1911,990,921,1904,961,943,4100,2120,1980,8008,3963,1974,1989,99.14,9018,19481,2864,2.92,29879,14872,15007,1059,530,529,27269,13418,13851,458,238,220,77,36,41,0,0,0,47,21,26,75,0,46,147,1635,945,457,100,171,94,55,184,29533,819,407,412,72,37,35,101,53,48,1298,648,650,1162,707,455,48,28,20,778,422,356,809,446,363,4185,2137,2048,4376,2157,2219,997,538,459,5765,2698,3067,5305,2653,2652,8,7.99,8.01,10836,8527,2309,13261,3361,9900,10401,8134,2267,435,393,42,9757,21569,5749,3855,12,11758,8353,13566,2299,29573,1174,0,335,7871,5945,1926,31084,24449,6635,10500,7888,10483,7871,7882,2012,600,31084,3.95,0.94,7389,464,1953,5896,133,699,7009,7690,155,7397,442,6835,6549,1265,6205,132,6305,7329,6581,4969,4188,1335,3323,3958,608,
10,Durango,001,Canatlán,0001,Canatlán,1044642,243139,1948,11495,5482,6013,616,306,310,10870,5171,5699,10444,4975,5469,8782,4141,4641,8090,3780,4310,7385,3426,3959,647,296,351,1441,734,707,1646,853,793,692,361,331,705,354,351,1480,722,758,3166,1167,522,645,91.17,3396,7266,824,2.56,10821,5139,5682,511,260,251,9920,4673,5247,209,101,108,23,8,15,0,0,0,11,4,7,22,0,11,63,504,275,125,36,38,34,25,80,10868,283,128,155,19,11,8,27,18,9,574,281,293,533,285,248,21,13,8,203,106,97,239,125,114,977,463,514,1211,552,659,330,168,162,1736,792,944,3110,1482,1628,9.34,9.47,9.23,4285,2814,1471,4465,1312,3153,4100,2660,1440,185,154,31,2881,8592,2964,2296,2,3457,3267,4569,925,10769,386,0,134,2932,1961,971,11410,7967,3443,3673,2940,3665,2932,2935,518,215,11410,3.89,0.93,2783,142,608,2317,57,271,2594,2908,16,2780,139,2864,2858,67,2713,19,2267,2829,2631,2112,1641,888,1456,1856,538,7
10,Durango,001,Canatlán,0004,Colonia Anáhuac (Palo Blanco),1043639,242436,1950,897,447,450,57,30,27,840,417,423,806,397,409,690,341,349,631,312,319,581,289,292,46,21,25,104,55,49,124,66,58,59,29,30,50,23,27,114,58,56,226,117,59,58,99.33,266,543,88,3.08,872,436,436,14,8,6,786,383,403,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,6,1,3,1,1,4,863,26,15,11,1,1,0,2,1,1,32,12,20,8,4,4,2,1,1,20,12,8,22,13,9,163,93,70,163,79,84,24,10,14,206,96,110,40,16,24,6.56,6.24,6.88,293,282,11,394,56,338,293,282,11,0,0,0,263,634,41,13,3,545,228,407,55,875,20,0,1,216,164,52,897,735,162,260,216,260,216,216,43,1,897,4.15,1.02,192,24,59,157,4,19,193,214,1,215,1,149,132,84,130,3,186,207,180,95,83,4,81,65,0,3
10,Durango,001,Canatlán,0005,Arnulfo R. Gómez (Los Sauces),1045230,244328,1982,768,372,396,48,28,20,720,344,376,694,333,361,599,291,308,554,268,286,512,243,269,40,17,23,81,36,45,100,47,53,45,23,22,42,25,17,92,39,53,190,127,68,59,93.94,214,455,99,3.19,737,359,378,13,5,8,657,308,349,6,3,3,2,2,0,0,0,0,0,0,0,2,0,0,4,31,19,8,3,3,1,0,5,731,25,11,14,5,1,4,2,2,0,20,12,8,16,6,10,1,0,1,12,6,6,10,5,5,152,75,77,128,61,67,24,15,9,168,79,89,64,32,32,6.92,6.89,6.95,263,222,41,322,55,267,257,216,41,6,6,0,147,620,186,28,0,400,180,356,62,755,6,0,6,194,153,41,768,624,144,253,194,253,194,194,43,16,768,3.96,0.88,193,1,55,137,3,15,173,192,1,194,0,182,183,11,182,1,172,188,176,134,119,15,138,90,3,3
10,Durango,001,Canatlán,0010,Benjamín Aranda (San Rafael),1044607,241914,1933,332,187,145,19,11,8,313,176,137,301,170,131,253,137,116,223,121,102,199,110,89,19,10,9,41,29,12,58,36,22,30,16,14,24,11,13,30,15,15,71,45,28,17,128.97,109,189,34,3.21,329,187,142,3,0,3,297,167,130,1,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,4,4,1,0,0,0,0,0,327,12,5,7,1,1,0,2,0,2,12,5,7,8,5,3,0,0,0,3,2,1,2,1,1,48,27,21,59,33,26,8,5,3,68,38,30,31,14,17,7.42,7.26,7.61,103,94,9,148,41,107,98,89,9,5,5,0,145,187,55,17,0,102,87,148,18,289,17,0,25,77,73,4,332,319,13,115,77,115,77,77,34,4,332,4.31,0.88,76,1,16,61,1,3,73,76,1,76,1,59,58,19,58,1,69,73,69,47,38,4,16,31,0,2
10,Durango,001,Canatlán,0012,Bruno Martínez (San Bartolo),1043901,243109,1940,756,376,380,48,20,28,707,356,351,680,341,339,584,298,286,546,277,269,517,265,252,40,18,22,83,40,43,96,52,44,38,21,17,29,12,17,113,56,57,192,101,59,42,98.95,209,471,75,3.11,735,367,368,14,5,9,656,325,331,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,4,0,1,0,0,0,734,17,8,9,0,0,0,2,1,1,14,5,9,6,2,4,0,0,0,7,6,1,12,8,4,90,58,32,163,82,81,22,9,13,213,99,114,36,18,18,7.21,6.91,7.52,268,257,11,312,39,273,267,256,11,1,1,0,233,523,77,16,1,374,160,388,36,717,29,0,9,202,174,28,756,670,86,261,202,261,202,202,58,1,756,3.74,0.92,184,18,65,137,3,14,185,199,3,201,1,132,125,77,124,0,175,199,158,107,91,10,59,122,0,3
10,Durango,001,Canatlán,0022,La Cañada,1044620,243304,1957,42,24,18,1,1,0,41,23,18,41,23,18,36,19,17,32,17,15,29,14,15,0,0,0,5,4,1,8,5,3,4,2,2,3,3,0,5,1,4,10,6,3,3,133.33,10,28,4,2.47,39,24,15,3,0,3,41,23,18,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,1,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,3,2,1,2,2,0,7,4,3,6,3,3,2,1,1,7,4,3,8,3,5,6.76,6.38,7.23,15,12,3,20,7,13,14,12,2,1,0,1,9,33,4,6,0,23,17,16,3,40,2,0,0,12,8,4,42,24,18,19,12,19,12,12,3,4,42,3.50,0.98,10,2,3,9,0,3,9,12,0,11,1,7,7,5,7,0,12,11,10,5,5,1,0,7,0,1
