"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
12,Guerrero,000,Total de la entidad Guerrero,0000,Total de la Entidad,,,,3388768,1645561,1743207,206947,105641,101306,3162213,1528854,1633359,3016151,1455249,1560902,2481173,1184680,1296493,2244576,1065308,1179268,2010194,948204,1061990,219144,110645,108499,461896,233529,228367,550663,278296,272367,236597,119372,117225,234382,117104,117278,428493,205534,222959,877211,323468,151413,172055,94.40,1124584,2010149,234427,2.77,3158220,1529123,1629097,185024,91974,93050,2907033,1391300,1515733,53193,27309,25884,481098,230441,250657,150891,62922,87969,320219,162777,157442,456774,134797,312453,625720,129869,73300,31724,13151,14851,5354,4409,12057,3213912,84652,43134,41518,20350,10745,9605,24986,12598,12388,147905,73666,74239,98142,46790,51352,51282,28222,23060,374327,147184,227143,354334,142719,211615,351083,167282,183801,361679,173195,188484,139290,73951,65339,384258,193669,190589,586272,284692,301580,7.27,7.49,7.07,1221440,855837,365603,1242498,318567,923931,1174712,816849,357863,46728,38988,7740,1550204,1807297,413207,261737,8348,1064745,862113,1358257,254706,2928364,292612,3131,100246,805230,588351,216879,3364920,2597245,767675,1093941,810596,1088575,805230,810384,178990,104355,3364920,4.18,1.47,652022,147730,403219,397447,133730,233591,432667,767090,33656,496276,303915,648034,615830,181550,426806,69650,509424,667351,589373,317507,189270,129170,261141,351186,86942,
12,Guerrero,000,Total de la entidad Guerrero,9998,Localidades de una vivienda,,,,5540,3057,2483,295,141,154,5089,2786,2303,4903,2681,2222,4122,2238,1884,3713,2002,1711,3334,1796,1538,306,175,131,661,373,288,874,501,373,409,236,173,379,206,173,721,369,352,1188,758,450,308,*,1671,3156,557,*,5041,2757,2284,267,137,130,4690,2558,2132,123,65,58,896,473,423,262,122,140,593,329,264,868,248,583,1069,231,137,57,18,28,5,10,13,5085,194,116,78,155,88,67,129,78,51,123,71,52,90,41,49,195,120,75,1160,597,563,1169,615,554,927,503,424,727,398,329,164,88,76,372,198,174,307,182,125,*,*,*,1995,1796,199,2096,426,1670,1959,1765,194,36,31,5,3507,1856,87,75,1,1587,1523,2243,348,4833,368,0,133,1259,1111,148,5351,4746,605,2643,1278,2624,1259,1275,820,545,5351,*,*,513,734,782,470,191,516,542,456,785,136,1106,378,345,889,46,498,524,402,277,132,251,23,49,197,14,
12,Guerrero,000,Total de la entidad Guerrero,9999,Localidades de dos viviendas,,,,6009,3163,2846,384,211,173,5551,2896,2655,5259,2754,2505,4285,2275,2010,3855,2044,1811,3417,1831,1586,427,205,222,839,416,423,1017,523,494,430,231,199,438,213,225,733,368,365,1312,715,405,310,*,2080,3326,529,*,5720,3022,2698,171,66,105,5145,2674,2471,31,20,11,1107,570,537,456,186,270,624,365,259,1058,418,613,1224,255,128,52,35,45,12,11,24,5606,277,134,143,170,87,83,137,63,74,149,73,76,72,33,39,210,106,104,1215,588,627,1225,608,617,936,503,433,854,450,404,178,96,82,387,240,147,232,124,108,*,*,*,2049,1838,211,2203,419,1784,2009,1803,206,40,35,5,3673,2237,74,43,5,2087,1488,2477,302,5406,400,0,71,1273,1099,174,5814,5055,759,2139,1282,2130,1273,1279,544,313,5814,*,*,470,794,794,465,209,541,510,523,740,177,1080,309,292,957,44,500,555,427,311,133,210,18,43,164,4,
12,Guerrero,001,Acapulco de Juárez,0000,Total del Municipio,,,,789971,382276,407695,42465,21875,20590,740756,357020,383736,710927,341788,369139,605091,287941,317150,558825,264416,294409,511368,240709,270659,44750,22847,21903,90915,46232,44683,107580,54698,52882,46266,23525,22741,47457,23707,23750,102047,49690,52357,219465,70658,31963,38695,93.77,224396,511421,47404,2.25,707743,340806,366937,70047,35134,34913,682537,325947,356590,17977,9394,8583,11452,5462,5990,124,44,80,10059,4820,5239,11304,112,9961,25568,30958,18111,7956,2858,2845,1366,1138,2911,748026,21483,11058,10425,3184,1727,1457,3491,1898,1593,33695,16669,17026,28636,13725,14911,4543,2601,1942,44592,15988,28604,46667,17526,29141,58545,25775,32770,79272,36284,42988,33639,18245,15394,113128,56454,56674,209879,102404,107475,8.93,9.18,8.71,339195,213823,125372,262931,72239,190692,323763,201846,121917,15432,11977,3455,335482,446163,245078,66596,1592,116269,206298,321962,75681,635970,88344,607,43903,203313,139786,63527,780251,557426,222825,293572,205559,291326,203313,205485,45211,42802,780251,3.84,1.30,179050,22794,87798,114757,37249,46023,119007,201426,1111,153619,48575,186209,184310,17711,148225,3989,146137,190556,176076,110365,56722,49910,90836,133964,38134,
12,Guerrero,001,Acapulco de Juárez,0001,Acapulco de Juárez,0995311,165142,0020,673479,324746,348733,35040,18083,16957,632371,303636,328735,607581,290928,316653,520265,246419,273846,482264,227095,255169,443395,207703,235692,37202,19069,18133,74904,38148,36756,88408,44959,43449,38001,19324,18677,38869,19392,19477,86451,42013,44438,189410,60668,27167,33501,93.12,185147,442143,40121,2.15,596378,285895,310483,66383,33247,33136,582118,276763,305355,16772,8779,7993,10382,4941,5441,111,36,75,9144,4373,4771,10242,100,9048,23037,26448,15603,6833,2403,2396,1225,1025,2456,637596,17560,9079,8481,2488,1356,1132,2614,1457,1157,28609,14095,14514,26395,12648,13747,2903,1693,1210,31393,10696,20697,35209,12828,22381,44159,19000,25159,64866,29359,35507,28140,15317,12823,96105,47413,48692,197883,96262,101621,9.32,9.58,9.09,298099,182224,115875,219703,62612,157091,284165,171551,112614,13934,10673,3261,272773,393292,232062,61708,1460,83358,177499,274250,67503,534085,79786,566,40909,176042,118805,57237,664745,464391,200354,259052,178068,257026,176042,177998,40288,40696,664745,3.78,1.24,160003,14682,72384,102993,30430,37052,107647,174643,743,142448,32607,168484,167484,7470,140209,2288,129818,166994,156428,102093,52871,48186,84166,124056,37112,13
12,Guerrero,001,Acapulco de Juárez,0077,Agua del Perro,0993354,170544,0263,92,46,46,8,2,6,84,44,40,81,43,38,71,36,35,63,32,31,59,29,30,6,3,3,7,5,2,12,7,5,8,4,4,4,3,1,19,11,8,26,8,4,4,100,29,57,6,3.24,92,46,46,0,0,0,81,43,38,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,5,2,1,0,0,1,0,0,0,90,1,1,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,8,3,5,8,3,5,10,5,5,16,8,8,0,0,0,22,13,9,7,3,4,6.52,6.69,6.35,32,29,3,39,7,32,32,29,3,0,0,0,28,64,2,0,0,61,30,39,2,92,0,0,0,25,19,6,92,77,15,32,25,32,25,25,5,2,92,3.68,1.96,21,4,20,5,7,14,4,24,1,1,24,9,10,15,1,4,15,17,18,4,0,0,1,2,0,1
12,Guerrero,001,Acapulco de Juárez,0078,Aguas Calientes,0993826,165033,0032,1660,827,833,122,69,53,1484,730,754,1403,689,714,1165,569,596,1059,508,551,945,442,503,118,57,61,201,104,97,238,136,102,106,61,45,114,66,48,253,113,140,425,107,47,60,99.28,547,967,92,2.95,1562,774,788,24,12,12,1370,671,699,10,6,4,1,1,0,0,0,0,1,1,0,1,0,1,1,54,34,13,1,8,0,0,6,1532,56,30,26,4,3,1,5,1,4,75,44,31,33,15,18,14,7,7,203,77,126,147,60,87,215,92,123,185,86,99,70,44,26,238,134,104,179,80,99,6.47,6.75,6.20,502,410,92,647,151,496,461,372,89,41,38,3,807,793,123,87,1,564,389,675,100,1529,43,0,9,376,291,85,1606,1313,293,444,394,426,376,394,48,2,1606,4.27,1.79,244,129,229,144,117,108,149,374,0,350,24,208,193,181,190,27,177,325,253,52,33,8,82,34,2,4
12,Guerrero,001,Acapulco de Juárez,0079,Alto del Camarón,0993454,170305,0220,916,446,470,34,16,18,882,430,452,856,421,435,686,340,346,611,299,312,554,271,283,43,16,27,153,74,79,193,93,100,75,41,34,57,28,29,87,45,42,206,131,66,65,94.89,305,506,105,3.41,865,426,439,39,16,23,820,399,421,18,10,8,5,4,1,0,0,0,3,2,1,5,0,3,22,82,57,17,9,5,1,0,0,829,18,7,11,2,2,0,4,1,3,50,26,24,15,8,7,10,5,5,77,28,49,63,25,38,147,60,87,123,60,63,38,21,17,141,83,58,81,42,39,6.32,6.72,5.95,293,245,48,388,91,297,293,245,48,0,0,0,329,586,33,56,4,481,234,382,68,782,116,1,6,246,191,55,866,720,146,346,247,345,246,246,91,8,866,3.52,1.38,186,60,169,77,14,133,99,245,0,155,91,186,166,80,114,8,159,225,209,63,38,9,38,47,0,3
12,Guerrero,001,Acapulco de Juárez,0080,Amatepec,0993029,165849,0360,585,272,313,32,17,15,553,255,298,535,245,290,442,200,242,373,170,203,321,142,179,32,18,14,79,37,42,124,58,66,69,30,39,52,28,24,57,25,32,138,79,36,43,86.90,212,310,63,3.67,570,264,306,9,5,4,519,236,283,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,8,3,2,2,0,6,536,9,5,4,0,0,0,5,0,5,35,20,15,7,3,4,0,0,0,69,22,47,66,24,42,104,44,60,87,47,40,24,13,11,52,29,23,23,8,15,5.14,5.32,5,151,138,13,286,61,225,100,93,7,51,45,6,279,306,4,9,0,286,144,254,43,504,37,0,24,134,97,37,585,445,140,139,134,139,134,134,4,1,585,4.37,1.43,92,42,35,99,0,26,107,134,0,0,133,69,69,37,0,8,95,119,103,8,25,2,7,1,0,3
12,Guerrero,001,Acapulco de Juárez,0081,Amatillo,0993958,164913,0039,3298,1679,1619,236,137,99,2933,1478,1455,2785,1396,1389,2244,1130,1114,2015,1006,1009,1748,892,856,231,128,103,458,220,238,525,267,258,229,124,105,267,114,153,510,261,249,841,173,84,89,103.71,1154,1892,123,2.89,3144,1602,1542,5,2,3,2768,1386,1382,0,0,0,11,4,7,0,0,0,8,4,4,11,0,8,21,84,45,23,6,7,0,2,11,3012,129,68,61,34,17,17,37,17,20,106,45,61,33,13,20,66,30,36,503,198,305,381,149,232,498,243,255,528,273,255,111,58,53,373,217,156,98,53,45,5.01,5.41,4.62,1054,918,136,1169,198,971,1014,879,135,40,39,1,2115,1046,183,14,1,802,780,1309,151,2936,162,0,9,606,519,87,3169,2777,392,694,649,651,606,649,37,8,3169,5.23,2.16,292,309,293,309,154,202,247,593,6,495,105,171,157,441,139,67,214,499,290,34,21,3,24,80,3,5
