"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
17,Morelos,000,Total de la entidad Morelos,0000,Total de la Entidad,,,,1777227,858588,918639,90516,46244,44272,1661822,799886,861936,1596669,766696,829973,1362430,647284,715146,1262274,596774,665500,1155125,543041,612084,98247,50104,48143,201145,102498,98647,235620,119451,116169,100156,50510,49646,107149,53733,53416,224147,109186,114961,489266,177878,82681,95197,93.46,490064,1138000,124274,2.29,1253349,613984,639365,479892,222681,257211,1486384,708731,777653,78610,37983,40627,31905,15771,16134,534,175,359,27978,13900,14078,31388,466,27606,65676,79994,45717,21573,7707,10780,4269,3909,7285,1664522,47859,24518,23341,6942,3843,3099,8567,4946,3621,71937,34512,37425,64063,31083,32980,6538,3842,2696,81045,31628,49417,91548,38189,53359,133731,63143,70588,182120,85281,96839,62045,33672,28373,308772,149965,158807,444489,210005,234484,8.90,8.99,8.81,744599,475507,269092,611965,168092,443873,708725,447359,261366,35874,28148,7726,626965,1122320,466631,122497,3402,499872,465974,741543,152984,1386152,226175,4844,108563,460868,334770,126098,1745173,1330147,415026,649839,469091,641616,460868,468930,99339,81409,1745173,3.79,1.04,425539,33240,166339,293022,39255,84983,334673,454976,4462,401604,57087,446249,437684,20402,388726,6328,372945,439195,395206,285215,189731,137530,245657,294116,107165,
17,Morelos,000,Total de la entidad Morelos,9998,Localidades de una vivienda,,,,1072,706,366,36,19,17,1027,684,343,1002,672,330,894,608,286,848,583,265,803,558,245,41,23,18,92,53,39,114,62,52,46,25,21,45,25,20,132,86,46,185,127,86,41,*,215,759,89,*,672,456,216,374,237,137,864,578,286,96,64,32,53,32,21,0,0,0,52,31,21,52,0,51,68,64,35,16,4,6,5,3,5,993,27,14,13,13,8,5,14,8,6,25,12,13,21,8,13,20,12,8,117,68,49,114,69,45,177,120,57,142,96,46,62,57,5,190,143,47,146,90,56,*,*,*,652,556,96,239,52,187,642,547,95,10,9,1,372,687,87,36,1,271,307,525,62,865,119,0,68,203,187,16,742,682,60,853,207,849,203,206,334,312,742,*,*,149,51,102,98,30,61,109,121,79,53,145,138,126,73,39,29,130,120,83,54,76,21,27,105,9,
17,Morelos,000,Total de la entidad Morelos,9999,Localidades de dos viviendas,,,,3421,2782,639,46,28,18,3353,2743,610,3312,2725,587,3175,2649,526,3121,2617,504,3073,2590,483,60,27,33,118,67,51,135,77,58,54,32,22,48,27,21,405,326,79,393,237,188,49,*,278,2970,151,*,1874,1533,341,1498,1221,277,2831,2345,486,365,281,84,162,127,35,1,0,1,150,117,33,162,1,150,65,306,150,94,18,32,23,13,46,3065,37,16,21,13,9,4,10,5,5,21,14,7,118,91,27,8,5,3,263,206,57,243,186,57,554,483,71,542,454,88,372,336,36,748,637,111,642,507,135,*,*,*,2672,2370,302,495,271,224,2639,2338,301,33,32,1,1027,2371,265,29,1,550,1091,1741,342,2607,529,15,176,213,185,28,795,690,105,588,226,575,213,220,177,185,795,*,*,153,58,108,103,30,66,113,141,69,75,133,155,143,60,55,29,130,142,108,65,86,24,32,119,14,
17,Morelos,001,Amacuzac,0000,Total del Municipio,,,,17021,8223,8798,820,423,397,16169,7784,8385,15483,7431,8052,13042,6182,6860,11951,5626,6325,10819,5057,5762,1036,530,506,2091,1072,1019,2506,1284,1222,1091,556,535,1132,569,563,2213,1067,1146,4533,1975,935,1040,93.46,5038,10494,1457,2.85,12291,6068,6223,4503,2029,2474,14738,7002,7736,357,174,183,41,25,16,0,0,0,25,12,13,41,0,25,125,910,502,263,81,125,28,18,75,15920,571,291,280,74,36,38,132,78,54,671,333,338,396,168,228,84,45,39,1369,524,845,1318,541,777,1714,799,915,2117,961,1156,565,319,246,3094,1597,1497,2775,1256,1519,7.53,7.65,7.43,6366,4559,1807,6611,1581,5030,6028,4279,1749,338,280,58,5887,11080,2280,1486,9,7238,4366,7354,1310,14110,1780,97,842,4407,3277,1130,16997,13268,3729,5927,4415,5919,4407,4415,1144,368,16997,3.86,1.14,3991,396,1684,2710,369,939,3083,4335,51,3991,401,4049,3888,492,3592,97,3145,4067,3828,2272,1394,691,2053,1971,456,
17,Morelos,001,Amacuzac,0001,Amacuzac,0992210,183555,0899,5368,2561,2807,238,115,123,5104,2433,2671,4913,2340,2573,4165,1959,2206,3853,1804,2049,3518,1625,1893,294,143,151,645,331,314,754,379,375,312,155,157,335,179,156,702,327,375,1462,595,255,340,91.24,1489,3422,431,2.63,4101,1986,2115,1193,530,663,4657,2193,2464,152,79,73,10,4,6,0,0,0,9,3,6,10,0,9,39,283,174,79,24,46,11,8,19,5000,136,66,70,23,16,7,36,22,14,227,119,108,197,81,116,19,10,9,259,88,171,280,110,170,427,187,240,577,248,329,179,102,77,894,463,431,1341,627,714,8.77,8.96,8.61,2059,1357,702,2082,590,1492,1934,1259,675,125,98,27,1716,3620,906,974,4,1729,1407,2317,432,4609,467,8,177,1396,1040,356,5347,4227,1120,1802,1403,1795,1396,1403,316,83,5347,3.83,1.02,1316,79,475,921,88,234,1072,1382,12,1322,74,1342,1318,78,1255,24,1073,1322,1272,868,560,364,762,810,270,6
17,Morelos,001,Amacuzac,0002,Cajones,0992046,183429,0885,554,280,274,35,20,15,516,259,257,489,245,244,403,198,205,367,178,189,332,157,175,44,21,23,69,40,29,80,45,35,36,20,16,35,21,14,72,31,41,129,69,35,34,102.19,184,317,50,3.48,331,170,161,212,102,110,469,229,240,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,4,1,2,0,0,1,518,30,15,15,5,2,3,4,1,3,21,11,10,1,0,1,3,1,2,55,19,36,62,26,36,79,36,43,82,46,36,16,10,6,96,47,49,24,10,14,5.70,5.83,5.57,179,139,40,223,59,164,169,133,36,10,6,4,206,344,18,11,0,307,133,226,44,507,36,0,5,129,85,44,551,379,172,191,130,190,129,130,50,11,551,4.27,1.45,123,5,43,86,16,31,82,127,2,126,3,109,82,45,81,2,80,123,114,59,35,7,71,31,2,3
17,Morelos,001,Amacuzac,0003,Casahuatlán,0992317,183421,0956,1674,794,880,69,39,30,1603,754,849,1525,710,815,1258,577,681,1109,507,602,980,445,535,114,65,49,231,112,119,294,143,151,149,70,79,129,62,67,232,126,106,437,186,82,104,90.23,563,971,138,3.25,865,436,429,773,339,434,1416,656,760,52,19,33,6,5,1,0,0,0,2,2,0,6,0,2,15,64,22,18,12,7,0,5,7,1597,67,35,32,16,2,14,32,18,14,67,29,38,31,21,10,10,7,3,268,101,167,239,90,149,205,92,113,186,84,102,45,22,23,280,149,131,109,54,55,5.68,6.12,5.31,560,421,139,694,153,541,530,393,137,30,28,2,707,965,88,37,0,841,476,639,143,1324,230,27,87,408,282,126,1674,1238,436,553,408,553,408,408,124,21,1674,4.10,1.30,347,60,151,256,30,108,269,399,7,381,26,362,353,50,333,16,267,369,332,153,93,27,165,123,18,4
17,Morelos,001,Amacuzac,0004,Coahuixtla,0992212,183427,0920,1046,504,542,58,29,29,988,475,513,944,449,495,765,360,405,701,331,370,648,303,345,72,38,34,151,77,74,157,83,74,64,29,35,53,28,25,128,63,65,262,134,63,71,92.99,345,600,101,3.33,745,368,377,296,133,163,904,422,482,20,11,9,4,4,0,0,0,0,1,1,0,4,0,1,5,45,33,6,1,4,4,1,4,993,48,27,21,5,2,3,2,0,2,31,14,17,15,7,8,4,3,1,111,39,72,78,33,45,151,65,86,143,67,76,35,21,14,184,95,89,94,42,52,6.43,6.60,6.29,343,279,64,421,80,341,332,268,64,11,11,0,401,643,51,28,0,556,227,454,84,815,201,0,27,259,201,58,1046,843,203,396,259,396,259,259,91,46,1046,4.04,1.20,234,23,83,174,15,51,191,255,2,251,5,233,226,31,221,2,183,235,235,126,53,17,112,82,11,4
17,Morelos,001,Amacuzac,0005,Huajintlán,0992528,183635,0956,1792,891,901,97,54,43,1694,836,858,1627,806,821,1404,682,722,1322,638,684,1207,577,630,98,50,48,192,104,88,212,112,100,82,44,38,115,61,54,217,106,111,461,266,134,132,98.89,469,1107,215,2.92,1457,736,721,312,145,167,1565,768,797,24,11,13,5,3,2,0,0,0,1,1,0,5,0,1,6,193,82,74,8,40,1,2,13,1577,41,21,20,3,2,1,4,3,1,79,47,32,37,13,24,7,3,4,115,50,65,100,41,59,174,90,84,240,112,128,66,43,23,419,221,198,288,117,171,7.80,7.70,7.90,772,522,250,613,143,470,751,504,247,21,18,3,539,1252,216,194,0,839,451,803,148,1590,99,0,100,491,379,112,1792,1461,331,633,491,633,491,491,98,44,1792,3.65,1.09,465,21,181,306,35,104,348,485,1,403,84,448,441,44,369,8,326,454,423,231,144,66,255,174,39,4
17,Morelos,001,Amacuzac,0006,Miahuatlán (El Cuiji),0992112,183524,0898,568,277,291,24,11,13,544,266,278,522,257,265,430,216,214,387,193,194,345,177,168,33,13,20,81,37,44,102,50,52,43,23,20,42,16,26,69,36,33,144,61,34,27,95.19,181,340,47,2.91,450,221,229,113,53,60,498,243,255,12,6,6,2,0,2,0,0,0,2,0,2,2,0,2,9,38,31,6,5,1,2,0,2,530,23,8,15,2,1,1,7,4,3,19,9,10,3,2,1,2,1,1,44,21,23,39,18,21,75,43,32,100,44,56,29,15,14,100,48,52,41,23,18,6.27,6.30,6.23,205,167,38,225,49,176,179,142,37,26,25,1,120,446,59,4,0,376,131,271,28,375,138,0,40,146,109,37,568,405,163,182,146,182,146,146,18,18,568,3.89,1.31,125,21,63,83,7,47,92,144,2,138,8,121,100,46,97,2,87,133,119,59,36,8,42,29,6,3
