"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
23,Quintana Roo,000,Total de la entidad Quintana Roo,0000,Total de la Entidad,,,,1325578,673220,652358,78628,40092,38536,1227759,623441,604318,1173159,595830,577329,996474,506178,490296,924855,469889,454966,848755,431329,417426,80118,40568,39550,151167,76695,74472,172235,87424,84811,71619,36289,35330,76100,38560,37540,188099,95370,92729,383279,63965,32503,31462,103.20,381532,885368,39487,1.98,577417,291423,285994,696831,355730,341101,1000344,505937,494407,143899,73762,70137,198587,106701,91886,9546,3598,5948,181781,99294,82487,196060,8867,180035,391931,40228,18492,14343,4540,3521,2301,1873,3382,1244177,37264,18848,18416,4768,2467,2301,4735,2389,2346,53278,27054,26224,40383,20575,19808,5771,3316,2455,44137,17709,26428,48254,20694,27560,94290,45012,49278,121158,57289,63869,45563,24869,20694,239036,125881,113155,336498,176547,159951,9.12,9.30,8.92,593121,396779,196342,389407,101654,287753,574027,382171,191856,19094,14608,4486,395186,896408,518853,87536,3058,254939,332500,567317,84221,839219,252830,2372,177331,363066,280790,82276,1303116,1035689,267427,476477,369326,470217,363066,369235,78295,28856,1303116,3.59,1.25,341123,13427,185265,170644,74585,84895,195865,348913,7441,325451,29635,344336,336831,17693,310907,8778,249713,327235,296060,253634,134905,115058,105567,290088,87222,
23,Quintana Roo,000,Total de la entidad Quintana Roo,9998,Localidades de una vivienda,,,,4252,2781,1471,183,98,85,3983,2637,1346,3849,2568,1281,3469,2365,1104,3326,2278,1048,3160,2184,976,196,104,92,318,168,150,359,207,152,143,87,56,166,94,72,620,404,216,798,538,413,125,*,840,2966,360,*,1364,821,543,2665,1838,827,3053,1994,1059,673,485,188,1266,901,365,88,43,45,1131,821,310,1253,83,1123,1591,292,136,111,21,47,6,26,18,3814,129,71,58,60,24,36,35,22,13,69,37,32,54,30,24,59,37,22,551,372,179,574,398,176,770,539,231,607,436,171,146,98,48,641,427,214,519,338,181,*,*,*,2286,2018,268,1152,328,824,2261,1998,263,25,20,5,2255,1875,619,85,14,1048,1108,1951,388,2296,914,3,837,1282,1189,93,3637,3345,292,1540,1316,1506,1282,1308,75,149,3637,*,*,948,308,921,342,452,417,390,736,527,341,917,984,877,374,267,220,729,588,467,324,375,108,48,647,69,
23,Quintana Roo,000,Total de la entidad Quintana Roo,9999,Localidades de dos viviendas,,,,1016,584,432,61,23,38,948,558,390,896,538,358,771,470,301,720,445,275,675,419,256,72,31,41,105,57,48,117,62,55,51,25,26,45,26,19,129,72,57,199,117,85,32,*,289,643,77,*,402,208,194,571,358,213,754,449,305,119,78,41,274,185,89,33,16,17,231,161,70,265,30,225,381,59,34,20,7,7,3,6,3,936,44,18,26,13,8,5,11,4,7,19,13,6,11,7,4,19,12,7,125,81,44,143,91,52,151,106,45,116,77,39,31,16,15,141,80,61,124,68,56,*,*,*,457,386,71,301,74,227,450,380,70,7,6,1,511,492,166,45,2,248,240,458,68,610,175,10,192,318,291,27,1010,934,76,409,320,407,318,320,31,58,1010,*,*,224,88,245,69,133,97,84,196,118,103,207,230,203,104,79,59,160,168,133,92,89,30,9,165,25,
23,Quintana Roo,001,Cozumel,0000,Total del Municipio,,,,79535,40357,39178,4363,2240,2123,74339,37694,36645,71208,36141,35067,60313,30684,29629,55938,28492,27446,51526,26238,25288,4698,2316,2382,9328,4694,4634,10671,5348,5323,4375,2192,2183,4412,2254,2158,9994,5004,4990,22655,4190,2107,2083,103.01,22764,53426,2512,1.93,38281,19251,19030,39236,20124,19112,65252,33070,32182,5135,2617,2518,8637,4892,3745,24,13,11,8160,4630,3530,8623,22,8153,22617,2508,1138,887,249,227,133,142,244,75602,2102,1019,1083,224,110,114,228,118,110,3312,1637,1675,2061,1020,1041,189,112,77,1942,749,1193,2301,969,1332,5394,2554,2840,7398,3637,3761,2739,1511,1228,16185,8510,7675,19985,10397,9588,9.11,9.25,8.96,36993,24197,12796,23086,6370,16716,35962,23430,12532,1031,767,264,20570,57939,39964,6870,116,8854,19828,34936,5428,59637,11153,105,6834,21921,16720,5201,78565,61224,17341,26884,22201,26604,21921,22188,3289,1394,78565,3.58,1.33,21398,292,12196,9587,6371,5145,10242,21577,235,20607,1118,21546,21525,171,20487,204,15979,20849,19315,16207,7780,8160,7146,18600,6958,
23,Quintana Roo,001,Cozumel,0001,Cozumel,0865630,203100,0001,77236,39113,38123,4238,2181,2057,72211,36532,35679,69170,35018,34152,58650,29755,28895,54403,27636,26767,50104,25445,24659,4564,2254,2310,8997,4523,4474,10312,5156,5156,4247,2119,2128,4299,2191,2108,9729,4867,4862,22086,4050,2020,2030,102.60,22046,51966,2437,1.92,37313,18758,18555,37987,19412,18575,63378,32035,31343,4998,2541,2457,8174,4594,3580,19,11,8,7762,4377,3385,8160,17,7755,21631,2361,1069,836,230,209,126,135,233,73505,2033,991,1042,215,104,111,214,112,102,3246,1603,1643,2028,1004,1024,174,102,72,1811,683,1128,2164,899,1265,5132,2405,2727,7117,3472,3645,2647,1457,1190,15746,8272,7474,19687,10229,9458,9.16,9.31,9.01,35961,23437,12524,22459,6201,16258,34948,22683,12265,1013,754,259,19965,56299,39131,6733,116,8225,19313,33935,5282,58313,10548,105,6526,21273,16150,5123,76324,59221,17103,25739,21537,25475,21273,21525,3170,1032,76324,3.59,1.33,20818,233,11723,9421,6105,4971,10044,21126,46,20492,592,21007,21025,42,20376,161,15542,20358,18967,15918,7568,8064,7124,18115,6886,10
23,Quintana Roo,001,Cozumel,0057,Las Palmitas,0870105,202306,0001,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
23,Quintana Roo,001,Cozumel,0067,El Cedral,0865938,202157,0008,15,7,8,0,0,0,15,7,8,15,7,8,15,7,8,14,7,7,14,7,7,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,7,2,5,87.50,1,8,6,4.75,8,4,4,7,3,4,15,7,8,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,2,3,2,1,0,0,1,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,10,4,6,1,1,0,1,1,0,0,0,0,1,1,0,3.25,5,1.50,8,6,2,7,1,6,8,6,2,0,0,0,10,5,2,1,0,2,5,6,4,14,0,0,1,9,6,3,15,10,5,146,9,146,9,9,3,134,15,1.67,0.68,9,0,8,1,2,3,4,9,0,0,9,9,8,0,0,0,8,9,9,5,3,0,2,8,0,1
23,Quintana Roo,001,Cozumel,0122,Punta Morena,0865128,202411,0001,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
23,Quintana Roo,001,Cozumel,0232,Santa Rita,0865417,202826,0007,15,9,6,3,2,1,12,7,5,12,7,5,12,7,5,11,6,5,9,6,3,0,0,0,0,0,0,1,1,0,1,1,0,2,0,2,5,4,1,5,0,0,0,150,4,11,0,2.20,8,6,2,7,3,4,11,7,4,1,0,1,2,1,1,0,0,0,2,1,1,2,0,2,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,3,1,2,0,0,0,4,4,0,0,0,0,2,1,1,0,0,0,9,6,3,3,1,2,8,5,3,1,1,0,1,14,5,4,0,5,3,9,0,15,0,0,0,4,4,0,15,15,0,4,4,4,4,4,0,0,15,3.75,3,4,0,3,1,3,1,0,4,0,3,1,4,4,0,3,0,3,4,2,3,0,1,0,2,0,1
23,Quintana Roo,001,Cozumel,0265,Presidente Intercontinental,0865856,202752,0002,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
