"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
25,Sinaloa,000,Total de la entidad Sinaloa,0000,Total de la Entidad,,,,2767761,1376201,1391560,147918,75269,72649,2609030,1295496,1313534,2504505,1242101,1262404,2131512,1052504,1079008,1969412,969811,999601,1802469,885206,917263,156484,79939,76545,321034,163053,157981,378806,192777,186029,162100,82693,79407,166943,84605,82338,351504,176235,175269,741629,266725,130040,136685,98.90,787536,1786281,183131,2.45,2466036,1226050,1239986,267059,132496,134563,2393511,1182067,1211444,73573,38450,35123,23841,13014,10827,112,40,72,19675,10763,8912,23426,94,19398,49972,102435,56151,26223,9122,8534,4917,4836,12648,2635449,69173,35469,33704,7551,4176,3375,10743,6205,4538,124746,61809,62937,119331,59701,59630,6671,4160,2511,97946,51663,46283,108994,57829,51165,279204,140924,138280,275497,130870,144627,117617,65106,52511,336171,162159,174012,772748,379116,393632,9.08,9.03,9.14,1107112,758742,348370,1013041,286918,726123,1063654,724529,339125,43458,34213,9245,677204,2074048,1148679,218265,6698,675134,720747,1188711,217332,2320206,204433,1218,194619,709960,531787,178173,2748115,2136884,611231,899048,713296,895712,709960,713142,136994,48758,2748115,3.87,1.05,661182,43567,240621,466111,35515,110118,560214,698624,8696,636953,68246,673637,647797,55531,602103,8987,475852,674111,660213,520223,394527,220665,302635,529567,167826,
25,Sinaloa,000,Total de la entidad Sinaloa,9998,Localidades de una vivienda,,,,10446,7003,3443,410,210,200,10029,6790,3239,9717,6623,3094,8683,6096,2587,8227,5831,2396,7815,5589,2226,456,231,225,890,463,427,1058,572,486,456,265,191,412,242,170,1517,1051,466,1730,1119,760,359,*,2212,7453,774,*,8991,6028,2963,1363,918,445,8890,5995,2895,616,469,147,203,127,76,0,0,0,181,109,72,202,0,180,267,655,371,161,58,48,28,31,80,9701,247,133,114,85,50,35,103,66,37,213,115,98,531,430,101,71,42,29,1023,712,311,1076,749,327,1988,1354,634,1702,1230,472,710,579,131,1498,1096,402,1083,739,344,*,*,*,5502,5090,412,3131,971,2160,5425,5022,403,77,68,9,3872,6548,2439,167,3,2826,2894,4894,866,8190,879,5,1111,1937,1749,188,7269,6509,760,5156,1949,5144,1937,1939,1115,2092,7269,*,*,1530,395,987,940,205,525,1197,1487,433,697,1221,1444,1258,640,604,172,1219,1407,1245,755,850,86,118,1204,35,
25,Sinaloa,000,Total de la entidad Sinaloa,9999,Localidades de dos viviendas,,,,4986,2658,2328,307,162,145,4672,2492,2180,4477,2409,2068,3763,2036,1727,3482,1881,1601,3203,1734,1469,291,133,158,618,323,295,701,375,326,281,155,126,279,147,132,606,313,293,1129,644,367,277,*,1497,3023,459,*,4529,2434,2095,425,206,219,4302,2319,1983,121,55,66,185,97,88,2,0,2,166,91,75,178,1,160,283,206,126,50,20,18,5,9,22,4735,159,72,87,66,34,32,64,35,29,123,54,69,46,20,26,68,38,30,605,351,254,626,364,262,944,543,401,774,398,376,207,102,105,490,235,255,382,211,171,*,*,*,1884,1685,199,1849,329,1520,1844,1650,194,40,35,5,1867,3089,1013,38,11,1963,1162,2261,330,4021,281,0,582,1223,1082,141,4886,4403,483,3176,1230,3169,1223,1225,1015,931,4886,*,*,810,403,582,632,133,333,747,885,332,345,866,773,674,506,294,191,642,819,671,432,525,54,62,599,19,
25,Sinaloa,001,Ahome,0000,Total del Municipio,,,,416299,205435,210864,21384,10902,10482,393790,193955,199835,378618,186286,192332,322545,157737,164808,298544,145625,152919,274141,133341,140800,22713,11529,11184,48532,24689,23843,56826,28780,28046,24001,12112,11889,24403,12284,12119,51874,25891,25983,114209,38379,18326,20053,97.43,116630,272871,25673,2.29,372410,183448,188962,39951,19962,19989,360714,176681,184033,12660,6626,6034,5226,2876,2350,14,7,7,4631,2558,2073,5188,14,4605,12447,16340,8661,4685,1389,1202,809,842,1848,396980,9848,4940,4908,892,519,373,1324,814,510,19059,9372,9687,18892,9606,9286,743,527,216,9893,5124,4769,11135,5757,5378,34361,17410,16951,37047,16933,20114,18094,9925,8169,53801,25657,28144,131697,64763,66934,9.64,9.64,9.63,166814,112174,54640,154472,44799,109673,158338,105586,52752,8476,6588,1888,97438,317129,205145,30565,1445,75767,108326,180575,33052,342238,38143,287,28175,108603,81084,27519,413714,321573,92141,137242,108911,136934,108603,108895,24475,3856,413714,3.81,1.02,102987,5051,36818,71399,4936,16432,86741,107587,696,102862,5153,105108,101425,6487,98364,733,81186,104809,102294,81920,65571,37019,46721,86251,28072,
25,Sinaloa,001,Ahome,0001,Los Mochis,1085949,254737,0012,256613,124228,132385,13152,6656,6496,242636,117151,125485,233349,112505,120844,199763,95396,104367,185525,88139,97386,170789,80774,90015,13873,6997,6876,29000,14758,14242,33679,17108,16571,14238,7257,6981,14736,7365,7371,32506,15831,16675,73760,21752,9867,11885,93.84,70263,171418,14107,2.08,226053,108938,117115,27809,13871,13938,220898,105906,114992,9091,4723,4368,927,530,397,0,0,0,610,367,243,912,0,605,2004,10203,4979,3487,802,747,520,498,1054,244455,5928,2927,3001,446,232,214,609,379,230,12103,5926,6177,13830,6996,6834,278,188,90,3213,1478,1735,4516,2112,2404,13019,5989,7030,18562,8135,10427,9902,5328,4574,31437,14812,16625,99664,48386,51278,10.69,10.84,10.56,109396,68060,41336,89707,26979,62728,104409,64394,40015,4987,3666,1321,60812,194551,149004,22605,1210,18118,68714,110086,20554,216025,23272,233,13115,69761,50868,18893,255576,195036,60540,92446,70009,92198,69761,69997,19766,2671,255576,3.66,0.93,67917,1416,21528,47957,1356,8302,59751,69413,145,68162,1200,69212,68971,368,67763,157,54895,68366,67588,56543,47906,31180,36660,59617,24601,12
25,Sinaloa,001,Ahome,0067,El Aguajito,1091943,255732,0008,2383,1169,1214,126,60,66,2257,1109,1148,2190,1076,1114,1873,924,949,1709,847,862,1529,766,763,101,46,55,283,139,144,349,164,185,164,77,87,180,81,99,290,154,136,640,250,126,124,96.29,674,1524,185,2.58,2271,1114,1157,100,46,54,2143,1052,1091,28,15,13,1,0,1,0,0,0,0,0,0,1,0,0,5,94,51,13,8,10,3,6,17,2279,48,23,25,4,4,0,7,2,5,141,65,76,73,35,38,6,5,1,88,52,36,84,49,35,380,203,177,322,149,173,164,87,77,321,141,180,401,201,200,7.48,7.33,7.63,765,639,126,1096,278,818,745,620,125,20,19,1,302,2073,517,104,0,1502,590,1136,144,1779,312,0,275,566,474,92,2383,2033,350,625,566,625,566,566,46,13,2383,4.21,1.24,503,56,191,371,34,117,411,554,8,521,39,513,493,65,474,7,325,523,509,373,223,32,118,346,8,4
25,Sinaloa,001,Ahome,0068,Agua Nueva,1090535,255305,0011,515,263,252,25,9,16,490,254,236,466,242,224,380,196,184,347,178,169,313,163,150,38,20,18,72,38,34,86,45,41,33,18,15,34,15,19,58,29,29,131,46,29,17,104.37,168,316,31,2.62,507,258,249,6,3,3,460,240,220,5,2,3,4,1,3,0,0,0,4,1,3,4,0,4,9,17,14,0,1,0,0,0,2,497,17,9,8,0,0,0,3,2,1,24,12,12,6,0,6,6,4,2,26,14,12,10,5,5,99,56,43,89,47,42,26,11,15,78,38,40,35,15,20,6.59,6.38,6.80,176,135,41,203,60,143,157,119,38,19,16,3,89,426,174,2,0,261,134,207,39,382,33,0,98,123,97,26,515,421,94,132,123,132,123,123,3,6,515,4.19,1.29,103,20,47,76,19,24,80,121,2,115,8,102,96,26,94,4,82,110,105,65,49,8,4,78,1,3
25,Sinaloa,001,Ahome,0070,Ahome,1091020,255508,0010,11331,5632,5699,629,312,317,10693,5316,5377,10294,5107,5187,8658,4259,4399,7994,3931,4063,7333,3604,3729,610,317,293,1425,740,685,1639,833,806,664,328,336,661,327,334,1376,676,700,2950,1187,593,594,98.82,3328,7172,822,2.46,10906,5430,5476,351,167,184,9997,4952,5045,175,93,82,129,63,66,0,0,0,108,53,55,129,0,108,367,495,292,107,30,25,13,13,63,10739,283,140,143,43,24,19,65,40,25,456,217,239,326,154,172,59,41,18,423,243,180,408,236,172,1353,710,643,1519,654,865,511,276,235,1488,715,773,2378,1207,1171,8.21,8.20,8.22,4080,2993,1087,4531,1243,3288,3829,2783,1046,251,210,41,2739,8542,4267,838,83,3367,2826,4945,862,10130,529,1,525,2734,2099,635,11297,8941,2356,3056,2737,3053,2734,2736,257,62,11297,4.13,1.17,2402,322,1027,1699,255,516,1953,2706,22,2397,324,2297,2365,358,2194,33,1892,2599,2438,1913,1292,498,715,1962,332,7
25,Sinaloa,001,Ahome,0072,Los Algodones,1091658,255817,0011,427,225,202,29,13,16,398,212,186,384,202,182,322,170,152,297,156,141,269,141,128,20,13,7,56,29,27,65,33,32,25,14,11,28,15,13,59,31,28,112,37,20,17,111.39,130,268,29,2.65,409,214,195,16,9,7,382,201,181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,0,1,0,2,418,9,6,3,0,0,0,2,1,1,12,8,4,14,5,9,0,0,0,17,10,7,19,11,8,72,42,30,76,38,38,29,19,10,40,20,20,55,23,32,6.74,6.37,7.14,179,130,49,143,40,103,179,130,49,0,0,0,54,372,80,25,1,266,112,188,20,373,44,0,9,101,78,23,427,349,78,109,101,109,101,101,6,2,427,4.23,1.40,85,16,49,52,13,30,58,98,3,74,27,93,64,37,63,5,57,92,85,56,39,4,1,50,0,2
25,Sinaloa,001,Ahome,0076,El Añil,1090445,255647,0016,310,162,148,24,7,17,286,155,131,267,143,124,228,127,101,211,117,94,195,105,90,30,17,13,28,11,17,37,16,21,17,10,7,16,12,4,41,21,20,69,36,20,16,109.46,99,189,22,3.04,295,155,140,14,7,7,263,140,123,3,3,0,116,62,54,1,1,0,115,61,54,113,1,112,216,9,6,1,2,0,1,0,1,301,13,9,4,0,0,0,2,2,0,11,9,2,3,2,1,0,0,0,27,17,10,32,20,12,64,33,31,34,19,15,13,10,3,40,19,21,26,15,11,5.71,5.61,5.85,127,90,37,101,37,64,127,90,37,0,0,0,64,246,46,8,0,192,72,140,16,295,12,0,2,79,71,8,310,284,26,98,79,98,79,79,13,6,310,3.92,2.04,59,20,56,23,30,31,18,76,3,62,17,69,69,6,56,3,51,63,44,14,10,0,2,40,0,2
