"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
27,Tabasco,000,Total de la entidad Tabasco,0000,Total de la Entidad,,,,2238603,1100758,1137845,131454,67216,64238,2082171,1021027,1061144,1989933,974049,1015884,1676461,814956,861505,1544096,748100,795996,1406957,679118,727839,136898,69682,67216,268812,136389,132423,311933,158200,153733,132365,66856,65509,137139,68982,68157,293960,142977,150983,626206,167927,82702,85225,96.74,669529,1427895,116201,2.38,2007173,983913,1023260,197670,99882,97788,1935521,945472,990049,39263,20231,19032,61256,31801,29455,607,221,386,56924,29667,27257,60526,533,56367,116197,87235,42227,28049,8834,7266,3973,3776,9775,2112030,47241,24329,22912,7390,3872,3518,9519,4678,4841,99015,50432,48583,83723,42298,41425,13309,7821,5488,108954,41874,67080,95569,37614,57955,232934,109362,123572,220516,101111,119405,65965,34889,31076,364477,180385,184092,507420,258265,249155,8.64,8.88,8.41,816385,605506,210879,850536,203626,646910,777170,572748,204422,39215,32758,6457,564426,1645246,315783,89348,74001,1000075,563672,945291,164833,1444672,536816,898,212222,559114,429930,129184,2209086,1769797,439289,662491,567233,654372,559114,567175,69701,25557,2209086,3.95,1.18,520114,35993,231694,325254,75621,85498,395073,549911,7651,410559,145957,533727,531759,23399,399455,18963,373316,504036,463188,389245,148521,117126,122211,355430,68714,
27,Tabasco,000,Total de la entidad Tabasco,9998,Localidades de una vivienda,,,,1220,655,565,75,37,38,1144,618,526,1100,593,507,933,507,426,860,468,392,772,425,347,74,37,37,137,74,63,162,86,76,73,39,34,88,43,45,150,74,76,291,142,94,48,*,359,769,91,*,1001,530,471,212,122,90,1040,556,484,49,31,18,15,9,6,0,0,0,14,9,5,15,0,14,37,57,21,23,10,6,3,0,5,1156,41,23,18,33,20,13,24,10,14,43,18,25,23,12,11,28,15,13,151,84,67,137,75,62,273,153,120,161,89,72,31,16,15,140,74,66,102,53,49,*,*,*,461,434,27,470,72,398,458,431,27,3,3,0,435,782,53,8,2,695,298,566,69,847,210,0,137,316,297,19,1220,1132,88,504,316,504,316,316,101,87,1220,*,*,294,22,173,143,38,80,198,196,120,38,276,290,292,22,31,59,183,197,143,102,54,16,24,136,1,
27,Tabasco,000,Total de la entidad Tabasco,9999,Localidades de dos viviendas,,,,1011,532,479,73,39,34,938,493,445,898,477,421,763,417,346,712,396,316,662,368,294,58,26,32,117,50,67,135,56,79,51,21,30,50,28,22,145,79,66,247,92,61,31,*,299,648,64,*,843,447,396,158,81,77,837,442,395,48,27,21,23,15,8,0,0,0,22,15,7,23,0,22,51,38,22,8,6,3,0,0,5,965,28,12,16,13,5,8,11,4,7,26,16,10,23,13,10,16,7,9,96,55,41,102,58,44,201,117,84,122,61,61,40,21,19,134,73,61,105,60,45,*,*,*,372,347,25,383,65,318,370,345,25,2,2,0,286,723,65,5,4,639,211,497,53,666,189,9,144,284,268,16,1011,959,52,406,284,406,284,284,72,50,1011,*,*,254,29,170,113,52,63,168,195,88,42,239,259,252,30,38,39,171,192,140,102,55,16,25,134,8,
27,Tabasco,001,Balancán,0000,Total del Municipio,,,,56739,28318,28421,3228,1684,1544,53383,26569,26814,50915,25259,25656,42581,21090,21491,38831,19192,19639,35031,17256,17775,3606,1891,1715,7196,3588,3608,8575,4343,4232,3750,1898,1852,3800,1936,1864,6697,3255,3442,14908,5329,2936,2393,99.64,17780,35035,3796,2.81,50462,25074,25388,5845,3029,2816,48939,24153,24786,1379,737,642,732,382,350,35,15,20,642,335,307,698,23,624,1336,2383,1223,564,283,233,122,130,265,53904,1114,614,500,235,117,118,318,155,163,2696,1360,1336,1754,899,855,408,234,174,4448,1854,2594,4131,1824,2307,8392,4372,4020,6260,3095,3165,1954,1026,928,8735,4128,4607,8025,4141,3884,7.09,7.18,7.01,19352,15777,3575,22989,5166,17823,18893,15378,3515,459,399,60,7906,48668,1055,2549,698,43094,13822,24559,4133,36583,12163,10,7373,14997,11865,3132,56575,46451,10124,18858,15035,18820,14997,15033,2420,1403,56575,3.77,1.28,13672,1289,8179,6779,2689,2840,9418,14151,816,11400,3536,14108,14058,849,10993,1006,8224,12885,10843,8803,3038,1714,2630,6413,617,
27,Tabasco,001,Balancán,0001,Balancán,0913211,174819,0020,13030,6231,6799,671,339,332,12269,5848,6421,11714,5538,6176,9986,4687,5299,9290,4358,4932,8516,3976,4540,800,447,353,1483,714,769,1695,823,872,696,329,367,774,382,392,1636,795,841,3761,1150,547,603,91.65,3650,8489,801,2.24,11735,5579,6156,1167,588,579,11365,5364,6001,287,145,142,90,47,43,3,0,3,66,34,32,90,3,66,201,498,285,100,52,23,24,29,44,12404,192,110,82,27,18,9,54,29,25,607,286,321,724,378,346,28,16,12,520,190,330,539,214,325,1221,564,657,1060,473,587,359,180,179,1936,843,1093,3795,1921,1874,9.42,9.74,9.13,5297,3434,1863,4655,1236,3419,5189,3354,1835,108,80,28,1263,11662,679,1666,428,8194,3257,5562,1152,9437,2196,0,1110,3606,2557,1049,12942,9684,3258,4961,3636,4931,3606,3635,524,801,12942,3.59,1.14,3530,73,1779,1820,706,508,2384,3579,23,3490,107,3559,3574,22,3462,48,2259,3413,3147,2769,1111,1052,693,2900,487,7
27,Tabasco,001,Balancán,0002,Agricultores del Norte 1ra. Sección,0910527,175653,0060,268,136,132,23,13,10,245,123,122,230,115,115,183,93,90,157,77,80,141,69,72,19,10,9,43,20,23,54,29,25,26,16,10,16,8,8,28,11,17,65,17,9,8,103.03,111,143,14,3.44,263,134,129,5,2,3,220,109,111,4,1,3,1,1,0,0,0,0,0,0,0,1,0,0,6,13,2,7,2,0,1,0,1,255,4,3,1,4,2,2,8,5,3,10,7,3,6,3,3,2,2,0,15,6,9,19,8,11,42,21,21,49,22,27,10,8,2,22,10,12,12,6,6,5.59,5.84,5.35,69,66,3,112,25,87,69,66,3,0,0,0,23,244,2,0,0,238,63,107,11,216,43,0,9,62,52,10,268,234,34,72,62,72,62,62,7,3,268,4.32,1.70,48,14,45,15,9,16,34,38,21,39,22,52,51,9,33,9,33,45,24,23,3,0,1,10,0,2
27,Tabasco,001,Balancán,0004,El Águila,0911553,173911,0050,757,383,374,49,30,19,705,351,354,685,337,348,576,274,302,538,254,284,485,223,262,42,24,18,87,53,34,97,55,42,38,20,18,53,31,22,83,31,52,207,84,44,40,102.41,216,475,63,2.88,666,332,334,72,40,32,633,308,325,30,17,13,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3,2,4,1,0,0,0,739,10,7,3,1,1,0,0,0,0,40,21,19,21,6,15,4,1,3,72,32,40,57,27,30,117,58,59,71,38,33,30,19,11,121,46,75,122,56,66,7.21,7.08,7.33,234,207,27,335,63,272,230,203,27,4,4,0,145,608,4,3,16,570,173,341,61,451,162,0,140,205,160,45,754,605,149,249,206,248,205,206,24,19,754,3.68,1.10,192,10,113,89,23,29,149,205,0,179,25,197,197,8,174,7,118,183,167,136,56,21,27,87,0,3
27,Tabasco,001,Balancán,0005,Apatzingán,0910408,173616,0044,1096,536,560,69,30,39,1027,506,521,962,472,490,773,378,395,693,339,354,596,287,309,97,50,47,157,78,79,181,89,92,80,39,41,97,52,45,131,63,68,283,72,41,31,95.71,403,640,53,3.17,869,414,455,211,115,96,895,428,467,22,8,14,7,4,3,0,0,0,6,3,3,7,0,6,20,45,14,11,9,5,2,3,9,1029,19,11,8,1,1,0,2,0,2,78,43,35,40,21,19,9,3,6,98,45,53,97,48,49,93,55,38,84,52,32,43,24,19,232,97,135,118,47,71,7.13,6.70,7.53,247,213,34,525,164,361,243,210,33,4,3,1,190,904,9,15,0,872,277,441,55,861,166,0,68,262,211,51,1096,918,178,317,262,317,262,262,51,4,1096,4.18,1.35,222,40,126,136,31,46,185,256,6,2,258,237,233,29,1,14,146,226,195,167,76,19,45,38,1,4
27,Tabasco,001,Balancán,0007,El Arenal,0913800,174929,0020,34,18,16,1,1,0,33,17,16,33,17,16,27,15,12,25,14,11,25,14,11,1,1,0,5,1,4,6,2,4,2,1,1,0,0,0,7,3,4,6,7,5,2,112.50,9,22,3,5.25,34,18,16,0,0,0,33,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,32,0,0,0,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,6,3,3,5,3,2,7,4,3,3,1,2,0,0,0,7,5,2,3,1,2,5.40,5.43,5.36,13,13,0,14,2,12,13,13,0,0,0,0,7,27,2,0,0,25,9,18,0,34,0,0,0,8,8,0,34,34,0,8,8,8,8,8,0,0,34,4.25,1.55,8,0,6,2,0,3,5,1,7,0,8,6,6,2,0,2,4,3,0,0,0,0,0,3,0,1
27,Tabasco,001,Balancán,0009,Arroyo el Triunfo 1ra. Sección,0910113,174545,0056,695,350,345,55,25,30,640,325,315,605,311,294,488,255,233,435,222,213,383,191,192,48,21,27,104,49,55,121,67,54,53,33,20,52,31,21,84,38,46,174,49,31,18,101.45,260,394,41,3.60,655,329,326,28,15,13,594,306,288,2,2,0,1,1,0,0,0,0,1,1,0,1,0,1,2,4,1,0,2,0,3,1,1,688,11,6,5,4,0,4,11,6,5,30,21,9,6,3,3,9,6,3,73,30,43,73,32,41,125,66,59,65,30,35,21,10,11,105,58,47,35,19,16,5.41,5.57,5.25,195,192,3,292,63,229,195,192,3,0,0,0,114,581,0,1,0,572,155,289,42,178,225,0,290,165,138,27,695,619,76,186,165,186,165,165,15,6,695,4.21,1.99,128,36,121,44,44,81,40,152,13,146,19,150,149,16,135,25,39,126,92,76,17,1,37,0,0,3
