"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
28,Tamaulipas,000,Total de la entidad Tamaulipas,0000,Total de la Entidad,,,,3268554,1616201,1652353,177759,90783,86976,2988999,1474425,1514574,2863821,1410751,1453070,2437549,1194173,1243376,2264230,1106029,1158201,2087089,1016410,1070679,186065,94693,91372,365385,185559,179826,418685,212951,205734,173319,88144,85175,177141,89619,87522,389994,194690,195304,874025,285097,133057,152040,97.81,902528,2068899,195331,2.22,2307632,1148328,1159304,764399,367914,396485,2686559,1318558,1368001,106410,52769,53641,23478,12054,11424,65,18,47,18212,9274,8938,23296,63,18154,54830,130765,68951,39598,11895,12256,6825,5334,12716,2989046,93241,47807,45434,9101,4953,4148,12268,6633,5635,123486,61918,61568,109811,56377,53434,9126,5576,3550,81675,36419,45256,101344,46640,54704,256855,126079,130776,343463,159922,183541,111828,60720,51108,507869,247071,260798,820996,411397,409599,9.12,9.20,9.05,1305151,875532,429619,1097344,299617,797727,1242235,826643,415592,62916,48889,14027,734046,2397748,1253225,202040,6205,779110,799437,1369584,239677,2384024,479100,1293,219940,868244,659304,208940,3158477,2501063,657414,1168561,901387,1135418,868244,901244,211746,55428,3158477,3.64,1.02,825269,28929,318726,536762,58985,153260,642246,841641,15393,812671,41987,845925,753760,100043,736426,8692,658781,818160,777605,648401,474637,256467,359113,639893,203581,
28,Tamaulipas,000,Total de la entidad Tamaulipas,9998,Localidades de una vivienda,,,,13847,8303,5544,543,270,273,12996,7880,5116,12602,7670,4932,11263,7012,4251,10648,6678,3970,9996,6311,3685,588,300,288,1145,568,577,1411,737,674,615,334,281,652,367,285,1455,868,587,2679,2145,1402,743,*,2891,9094,1554,*,10091,5989,4102,3278,2070,1208,11888,7168,4720,516,355,161,241,168,73,1,0,1,209,145,64,237,1,207,431,946,484,326,84,111,39,48,114,12522,395,201,194,99,48,51,127,77,50,267,146,121,187,115,72,99,58,41,1313,846,467,1451,951,500,3040,1907,1133,2398,1502,896,419,253,166,1958,1221,737,1186,742,444,*,*,*,6496,6031,465,4703,939,3764,6383,5924,459,113,107,6,4717,8788,2734,286,21,4558,3507,6805,930,10892,1508,3,935,3974,3679,295,12284,11329,955,5809,4082,5701,3974,4074,712,1015,12284,*,*,3407,542,2272,1689,605,1278,2071,2412,1531,963,2975,3665,1457,2472,563,330,2695,2736,1695,1160,2100,157,261,2360,70,
28,Tamaulipas,000,Total de la entidad Tamaulipas,9999,Localidades de dos viviendas,,,,5495,3005,2490,294,155,139,5123,2812,2311,4931,2714,2217,4289,2387,1902,4046,2262,1784,3774,2121,1653,279,141,138,555,284,271,618,313,305,243,125,118,272,141,131,602,331,271,1188,829,497,332,*,1371,3465,581,*,4107,2217,1890,1129,645,484,4577,2509,2068,189,104,85,100,64,36,0,0,0,86,53,33,97,0,83,159,446,173,117,32,43,10,6,125,4938,186,94,92,63,33,30,65,36,29,111,56,55,51,31,20,47,29,18,389,221,168,401,246,155,1269,739,530,930,505,425,173,97,76,706,362,344,388,216,172,*,*,*,2145,1948,197,2016,362,1654,2089,1899,190,56,49,7,1942,3464,924,94,10,2364,1153,2702,321,4153,684,3,372,1677,1497,180,5319,4832,487,2394,1702,2369,1677,1701,319,373,5319,*,*,1460,201,961,698,279,543,837,1075,581,511,1139,1562,593,1055,276,109,1146,1181,810,609,919,69,112,988,28,
28,Tamaulipas,001,Abasolo,0000,Total del Municipio,,,,12070,6041,6029,693,358,335,11361,5675,5686,10923,5467,5456,9193,4598,4595,8455,4223,4232,7644,3788,3856,663,309,354,1505,768,737,1791,904,887,738,375,363,811,435,376,1272,657,615,2956,1519,813,706,100.20,3599,7370,1085,2.90,9770,4865,4905,2179,1118,1061,10581,5271,5310,139,69,70,41,21,20,0,0,0,28,14,14,38,0,26,82,721,365,190,72,115,51,42,83,11295,310,153,157,27,17,10,53,27,26,542,281,261,281,159,122,36,27,9,728,350,378,898,462,436,1734,919,815,1394,671,723,422,238,184,1934,872,1062,1703,886,817,7,6.95,7.06,3698,3093,605,5409,1436,3973,3441,2855,586,257,238,19,1272,10779,981,1016,35,8839,2842,5484,857,9170,1815,0,625,3263,2568,695,12058,9898,2160,4245,3267,4241,3263,3267,694,284,12058,3.70,1.09,3144,104,1332,1917,253,590,2406,3132,124,3054,192,3170,2637,604,2572,57,1792,2938,2725,2320,1848,322,839,2071,145,
28,Tamaulipas,001,Abasolo,0001,Abasolo,0982232,240323,0070,6008,2977,3031,342,184,158,5655,2788,2867,5447,2687,2760,4583,2253,2330,4216,2065,2151,3801,1832,1969,331,152,179,741,383,358,880,442,438,367,188,179,415,233,182,624,322,302,1507,720,369,351,98.22,1781,3718,498,2.73,5221,2584,2637,723,364,359,5296,2606,2690,49,22,27,20,11,9,0,0,0,9,5,4,19,0,9,40,320,177,81,28,61,15,10,23,5658,151,78,73,13,8,5,18,7,11,293,163,130,160,90,70,12,8,4,260,124,136,337,169,168,779,376,403,632,303,329,188,111,77,963,450,513,1114,567,547,7.71,7.75,7.67,1940,1480,460,2615,752,1863,1847,1397,450,93,83,10,607,5389,692,869,4,3891,1431,2675,471,4621,904,0,264,1620,1228,392,5999,4758,1241,2064,1623,2061,1620,1623,300,141,5999,3.70,1.08,1562,46,640,967,148,302,1157,1573,40,1567,39,1579,1308,295,1296,18,871,1500,1417,1202,907,231,434,1167,126,6
28,Tamaulipas,001,Abasolo,0002,Abasolo (Abasolito),0982301,240227,0050,175,96,79,7,3,4,168,93,75,164,92,72,137,77,60,121,65,56,107,56,51,8,3,5,23,13,10,32,22,10,16,12,4,14,9,5,24,14,10,41,15,10,5,121.52,54,110,11,3.05,144,77,67,27,16,11,154,84,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,4,0,0,0,0,3,160,3,1,2,1,1,0,3,3,0,9,7,2,4,2,2,2,2,0,8,5,3,12,7,5,30,18,12,16,5,11,12,7,5,18,9,9,25,14,11,6.59,6.52,6.67,60,53,7,77,24,53,55,49,6,5,4,1,29,146,16,2,0,130,60,61,15,170,3,0,2,43,29,14,175,127,48,51,43,51,43,43,3,5,175,4.07,1.51,39,4,21,22,8,12,23,41,2,41,2,40,22,21,20,1,19,38,37,30,26,1,0,37,0,1
28,Tamaulipas,001,Abasolo,0003,Nuevo Morelos (Adolfo López Mateos),0981951,240005,0043,856,419,437,54,22,32,802,397,405,771,379,392,642,317,325,587,290,297,523,263,260,49,25,24,111,55,56,138,67,71,55,27,28,64,27,37,94,47,47,223,92,46,46,95.88,269,525,62,2.82,745,352,393,104,64,40,749,364,385,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,46,30,8,13,9,13,12,8,808,18,12,6,0,0,0,3,3,0,46,21,25,19,7,12,7,5,2,34,15,19,46,22,24,127,68,59,115,62,53,40,13,27,152,72,80,89,44,45,6.88,6.78,6.98,250,231,19,387,81,306,233,215,18,17,16,1,62,793,57,10,5,756,222,354,66,617,149,0,86,234,186,48,856,714,142,317,234,317,234,234,59,24,856,3.66,0.96,232,2,88,146,6,14,214,220,14,222,12,230,226,8,214,6,124,212,196,173,135,11,74,158,2,3
28,Tamaulipas,001,Abasolo,0007,Buenos Aires,0981639,241712,0153,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
28,Tamaulipas,001,Abasolo,0014,El Contadero,0981838,240149,0036,12,7,5,2,2,0,10,5,5,10,5,5,7,3,4,6,3,3,6,3,3,0,0,0,3,2,1,3,1,2,1,0,1,0,0,0,0,0,0,2,2,1,1,140,6,5,1,3.25,12,7,5,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,1,1,1,1,0,8,9,7,3,3,0,4,0,4,3,3,0,0,0,0,0,12,5,0,0,7,1,6,0,11,1,0,0,3,3,0,12,12,0,3,3,3,3,3,0,0,12,4,1,3,0,1,2,0,0,3,3,0,3,0,3,2,1,2,0,2,3,3,3,2,0,0,3,0,1
28,Tamaulipas,001,Abasolo,0019,Guía del Porvenir,0982536,235938,0060,354,183,171,24,12,12,330,171,159,315,162,153,273,141,132,250,129,121,229,117,112,18,10,8,39,20,19,48,28,20,23,12,11,21,12,9,45,27,18,76,51,28,23,107.02,104,211,39,3.33,257,138,119,96,44,52,308,158,150,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,11,2,6,4,1,4,327,4,3,1,1,0,1,1,1,0,18,9,9,8,7,1,0,0,0,32,15,17,37,18,19,45,23,22,35,14,21,16,9,7,63,27,36,43,28,15,6.54,6.94,6.12,103,98,5,164,38,126,102,97,5,1,1,0,24,330,25,2,0,272,90,163,20,297,47,0,8,87,78,9,354,326,28,122,87,122,87,87,25,10,354,4.07,1.24,80,7,30,57,4,19,64,85,2,86,1,85,39,48,39,0,36,79,70,54,49,4,0,63,0,2
