"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
29,Tlaxcala,000,Total de la entidad Tlaxcala,0000,Total de la Entidad,,,,1169936,565775,604161,67427,34268,33159,1097069,528813,568256,1048423,504101,544322,877052,417024,460028,806459,381458,425001,733554,344648,388906,72788,36964,35824,147229,74825,72404,168415,85121,83294,70593,35566,35027,72905,36810,36095,151048,73427,77621,327605,98229,46077,52152,93.65,358037,736760,69699,2.39,970594,475524,495070,189196,85221,103975,998918,478750,520168,38100,18147,19953,27959,14051,13908,277,79,198,25253,12749,12504,27653,273,24988,64723,43837,23136,12422,4395,5637,2622,2279,3404,1116104,33580,17120,16460,2722,1480,1242,4422,2443,1979,51536,25146,26390,43833,21412,22421,3477,2047,1430,41879,14306,27573,42931,16043,26888,82110,36563,45547,150629,68904,81725,38606,21411,17195,211998,104705,107293,253979,122308,131671,8.78,8.95,8.62,457049,306633,150416,416341,108275,308066,434523,288888,145635,22526,17745,4781,441828,720545,211711,67107,4567,411115,307113,493312,75237,1062465,67336,1421,14928,272507,210993,61514,1163558,940159,223399,336256,274243,334520,272507,274202,43081,18932,1163558,4.27,1.13,261079,10495,94344,177333,17327,46085,207949,268330,3278,259620,11872,260063,256681,14618,246048,5352,227622,256650,180737,132257,98782,53921,86305,148455,32667,
29,Tlaxcala,000,Total de la entidad Tlaxcala,9998,Localidades de una vivienda,,,,1818,984,834,77,44,33,1717,928,789,1663,900,763,1445,777,668,1348,728,620,1240,670,570,84,49,35,188,102,86,229,119,110,97,49,48,108,58,50,212,108,104,423,317,204,113,*,446,1102,246,*,1417,788,629,369,179,190,1547,840,707,105,51,54,45,26,19,0,0,0,39,23,16,45,0,39,63,162,85,24,8,15,5,9,60,1627,38,22,16,7,4,3,10,6,4,55,27,28,35,12,23,16,9,7,228,131,97,216,125,91,288,167,121,279,149,130,66,44,22,233,128,105,237,105,132,*,*,*,792,631,161,647,144,503,783,623,160,9,8,1,931,863,120,35,2,667,526,774,145,1674,81,0,27,460,414,46,1699,1520,179,599,471,588,460,468,59,69,1699,*,*,356,103,237,223,57,110,293,277,183,195,262,305,234,223,134,91,298,259,145,98,186,40,36,211,7,
29,Tlaxcala,000,Total de la entidad Tlaxcala,9999,Localidades de dos viviendas,,,,1139,600,539,56,23,33,1071,571,500,1026,551,475,862,465,397,787,419,368,716,381,335,69,33,36,140,73,67,162,87,75,75,46,29,71,38,33,124,68,56,264,144,86,58,*,340,682,105,*,944,510,434,180,82,98,995,536,459,26,12,14,22,16,6,0,0,0,15,10,5,20,0,15,44,70,39,18,8,10,6,6,6,1051,30,10,20,3,2,1,16,10,6,30,19,11,19,9,10,6,3,3,85,40,45,95,46,49,153,80,73,190,112,78,33,20,13,175,99,76,117,53,64,*,*,*,467,368,99,394,96,298,455,358,97,12,10,2,549,573,67,20,8,475,304,477,81,1089,22,8,3,286,245,41,1127,970,157,386,290,382,286,290,54,42,1127,*,*,225,57,140,143,43,68,171,213,70,150,130,180,131,149,89,41,195,199,117,75,108,19,28,120,8,
29,Tlaxcala,001,Amaxac de Guerrero,0000,Total del Municipio,,,,9875,4819,5056,534,282,252,9281,4507,4774,8931,4337,4594,7546,3615,3931,6959,3310,3649,6394,3028,3366,564,287,277,1171,605,566,1357,692,665,587,305,282,565,282,283,1272,649,623,2780,901,417,484,95.31,2856,6303,656,2.30,8393,4173,4220,1396,605,791,8528,4115,4413,324,170,154,173,97,76,0,0,0,154,86,68,173,0,154,438,565,320,165,44,79,32,24,35,9175,231,114,117,20,8,12,23,12,11,448,218,230,477,252,225,17,9,8,187,51,136,190,59,131,511,203,308,1052,473,579,289,160,129,1640,832,808,3043,1472,1571,9.87,10.08,9.69,4022,2558,1464,3503,1042,2461,3789,2384,1405,233,174,59,3467,6327,2637,854,85,2535,2684,4259,597,8210,1344,6,58,2361,1846,515,9815,8062,1753,2869,2381,2849,2361,2381,303,185,9815,4.16,1.05,2293,61,821,1530,158,359,1833,2320,30,2240,111,2253,2263,88,2151,36,1982,2211,1696,1132,919,613,900,1463,387,
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,0981004,192056,2302,9114,4438,4676,494,261,233,8566,4150,4416,8250,3996,4254,6963,3332,3631,6423,3052,3371,5914,2799,3115,515,262,253,1088,556,532,1264,641,623,540,280,260,509,253,256,1170,598,572,2564,834,389,445,94.91,2637,5822,601,2.27,7743,3843,3900,1294,559,735,7878,3786,4092,296,161,135,169,94,75,0,0,0,150,83,67,169,0,150,425,516,287,154,42,75,26,18,33,8476,210,103,107,18,6,12,21,11,10,416,204,212,442,233,209,16,8,8,168,48,120,169,57,112,446,169,277,945,418,527,270,151,119,1497,754,743,2875,1398,1477,9.97,10.19,9.77,3704,2345,1359,3238,972,2266,3484,2179,1305,220,166,54,3336,5706,2483,834,71,2134,2457,3952,548,7532,1283,6,58,2173,1700,473,9060,7435,1625,2640,2191,2622,2173,2191,277,172,9060,4.17,1.04,2112,54,716,1447,131,323,1708,2137,26,2068,95,2088,2098,65,1996,31,1830,2039,1581,1056,859,586,874,1363,377,6
29,Tlaxcala,001,Amaxac de Guerrero,0002,San Damián Tlacocalpan,0981308,192220,2502,753,376,377,39,21,18,708,352,356,674,336,338,576,278,298,531,255,276,476,227,249,49,25,24,83,49,34,91,49,42,45,23,22,55,28,27,101,51,50,215,66,27,39,99.73,216,477,54,2.68,649,329,320,95,42,53,644,324,320,27,9,18,4,3,1,0,0,0,4,3,1,4,0,4,13,49,33,11,2,4,6,6,2,691,21,11,10,2,2,0,2,1,1,31,13,18,35,19,16,1,1,0,19,3,16,21,2,19,65,34,31,104,54,50,19,9,10,141,76,65,168,74,94,8.73,8.75,8.71,313,210,103,263,68,195,300,202,98,13,8,5,131,613,154,20,14,393,223,305,48,670,61,0,0,186,144,42,747,619,128,226,188,224,186,188,25,13,747,4.02,1.15,179,7,104,82,27,36,123,181,4,170,16,163,163,23,153,5,150,170,113,76,59,27,26,100,10,3
29,Tlaxcala,001,Amaxac de Guerrero,0012,La Preciosa [Rancho],0981233,192239,2385,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
29,Tlaxcala,001,Amaxac de Guerrero,9999,Localidades de dos viviendas,,,,8,5,3,1,0,1,7,5,2,7,5,2,7,5,2,5,3,2,4,2,2,0,0,0,0,0,0,2,2,0,2,2,0,1,1,0,1,0,1,1,1,1,0,*,3,4,1,*,1,1,0,7,4,3,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,2,0,0,0,0,*,*,*,5,3,2,2,2,0,5,3,2,0,0,0,0,8,0,0,0,8,4,2,1,8,0,0,0,2,2,0,8,8,0,3,2,3,2,2,1,0,8,*,*,2,0,1,1,0,0,2,2,0,2,0,2,2,0,2,0,2,2,2,0,1,0,0,0,0,
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0000,Total del Municipio,,,,13361,6424,6937,692,363,329,12574,6015,6559,12092,5772,6320,10348,4881,5467,9597,4498,5099,8796,4087,4709,741,371,370,1485,763,722,1763,908,855,751,383,368,801,411,390,1689,841,848,3884,1162,536,626,92.60,3669,8781,816,2.16,10888,5320,5568,2340,1039,1301,11497,5479,6018,498,237,261,155,82,73,2,1,1,145,76,69,155,2,145,458,512,302,125,42,57,19,21,38,12719,298,151,147,20,12,8,21,14,7,670,326,344,727,371,356,21,12,9,225,63,162,273,100,173,615,219,396,1343,614,729,448,256,192,2094,978,1116,4447,2162,2285,10.22,10.45,10.02,5720,3434,2286,4598,1429,3169,5457,3254,2203,263,180,83,4685,8563,4122,1234,109,2701,3861,5448,1021,12209,734,7,132,3292,2426,866,13271,10301,2970,3978,3322,3948,3292,3322,423,233,13271,4.03,0.96,3210,68,941,2343,134,397,2752,3267,17,3242,40,3190,3187,89,3141,28,2860,3161,2567,1887,1446,1057,1301,2325,670,
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0001,Apetatitlán,0981144,191952,2277,3872,1831,2041,193,98,95,3673,1730,1943,3542,1658,1884,3069,1410,1659,2845,1291,1554,2621,1178,1443,210,111,99,394,209,185,492,266,226,224,119,105,224,113,111,476,225,251,1160,350,151,199,89.71,1021,2600,245,1.97,3067,1482,1585,782,341,441,3359,1569,1790,161,78,83,42,18,24,0,0,0,39,16,23,42,0,39,115,133,92,20,8,11,8,9,9,3723,75,40,35,4,1,3,7,7,0,201,96,105,245,125,120,7,4,3,48,12,36,51,17,34,129,42,87,305,129,176,110,55,55,516,227,289,1626,769,857,11.21,11.48,10.98,1760,995,765,1302,412,890,1655,926,729,105,69,36,1448,2408,1462,421,25,386,1149,1555,360,3506,216,3,77,1007,681,326,3866,2766,1100,1238,1009,1236,1007,1009,174,55,3866,3.84,0.84,990,7,189,815,28,48,928,1003,1,1002,2,1003,1001,1,996,7,871,978,863,636,471,427,488,770,280,5
